#wls	flux	flux_err
4705.0000	3.3658e-17	5.7196e-18
4706.9000	3.3355e-17	5.7196e-18
4708.9000	3.2981e-17	5.7196e-18
4710.9000	3.2854e-17	5.7196e-18
4712.9000	3.2630e-17	5.7196e-18
4714.8000	3.2423e-17	5.7196e-18
4716.8000	3.2399e-17	5.7196e-18
4718.8000	3.2236e-17	5.7196e-18
4720.7000	3.1863e-17	5.7196e-18
4722.7000	3.1631e-17	5.7196e-18
4724.7000	3.1511e-17	5.7196e-18
4726.7000	3.1210e-17	5.7196e-18
4728.6000	3.0862e-17	5.7196e-18
4730.6000	3.0645e-17	5.8494e-18
4732.6000	3.0329e-17	5.8812e-18
4734.5000	2.9831e-17	5.8943e-18
4736.5000	2.9671e-17	5.8989e-18
4738.5000	2.9512e-17	6.0030e-18
4740.4000	2.9275e-17	6.0487e-18
4742.4000	2.9229e-17	6.0534e-18
4744.4000	2.9237e-17	6.3783e-18
4746.4000	2.9190e-17	6.4297e-18
4748.3000	2.9033e-17	6.0432e-18
4750.3000	2.9038e-17	6.0360e-18
4752.3000	2.9189e-17	5.7616e-18
4754.2000	2.9136e-17	4.9812e-18
4756.2000	2.9016e-17	5.2478e-18
4758.2000	2.8976e-17	5.1805e-18
4760.2000	2.8978e-17	5.1648e-18
4762.1000	2.8993e-17	4.9664e-18
4764.1000	2.9065e-17	4.9672e-18
4766.1000	2.9209e-17	5.1301e-18
4768.0000	2.9246e-17	5.4336e-18
4770.0000	2.9261e-17	5.5092e-18
4772.0000	2.9299e-17	5.2570e-18
4774.0000	2.9324e-17	5.1094e-18
4775.9000	2.9316e-17	5.0526e-18
4777.9000	2.9380e-17	5.0567e-18
4779.9000	2.9592e-17	5.0166e-18
4781.8000	2.9798e-17	5.1017e-18
4783.8000	3.0114e-17	5.0441e-18
4785.8000	3.0282e-17	5.2861e-18
4787.7000	3.0417e-17	5.3387e-18
4789.7000	3.0478e-17	5.1909e-18
4791.7000	3.0690e-17	5.1969e-18
4793.7000	3.0960e-17	5.4900e-18
4795.6000	3.1205e-17	5.5561e-18
4797.6000	3.1396e-17	5.6023e-18
4799.6000	3.1534e-17	5.6175e-18
4801.5000	3.1706e-17	5.8904e-18
4803.5000	3.1934e-17	5.5646e-18
4805.5000	3.2111e-17	5.1953e-18
4807.5000	3.2172e-17	5.1630e-18
4809.4000	3.2230e-17	5.2572e-18
4811.4000	3.2479e-17	6.4189e-18
4813.4000	3.2702e-17	6.4406e-18
4815.3000	3.2846e-17	6.3936e-18
4817.3000	3.2948e-17	6.4102e-18
4819.3000	3.2967e-17	6.2711e-18
4821.3000	3.2879e-17	6.3187e-18
4823.2000	3.2970e-17	6.2240e-18
4825.2000	3.3265e-17	6.3326e-18
4827.2000	3.3332e-17	6.3415e-18
4829.1000	3.3224e-17	6.6509e-18
4831.1000	3.2916e-17	6.5159e-18
4833.1000	3.3008e-17	6.5208e-18
4835.0000	3.3238e-17	6.2497e-18
4837.0000	3.3395e-17	6.2042e-18
4839.0000	3.3253e-17	6.2017e-18
4841.0000	3.3141e-17	6.2307e-18
4842.9000	3.3026e-17	5.9206e-18
4844.9000	3.3037e-17	5.7557e-18
