#wls	flux	flux_err
4076.3000	2.1984e-16	1.8006e-17
4078.3000	2.2037e-16	1.8026e-17
4080.3000	2.2000e-16	1.8123e-17
4082.3000	2.1999e-16	2.0400e-17
4084.3000	2.2032e-16	2.1072e-17
4086.3000	2.2049e-16	2.0952e-17
4088.2000	2.2101e-16	1.9906e-17
4090.2000	2.2156e-16	2.0613e-17
4092.2000	2.2245e-16	2.0765e-17
4094.2000	2.2296e-16	2.0181e-17
4096.2000	2.2317e-16	1.9393e-17
4098.1000	2.2371e-16	1.9724e-17
4100.1000	2.2461e-16	1.9716e-17
4102.1000	2.2513e-16	1.9881e-17
4104.1000	2.2526e-16	2.0056e-17
4106.1000	2.2530e-16	2.0095e-17
4108.0000	2.2575e-16	2.0086e-17
4110.0000	2.2690e-16	2.0083e-17
4112.0000	2.2799e-16	1.9833e-17
4114.0000	2.2877e-16	2.0562e-17
4116.0000	2.2940e-16	2.2296e-17
4117.9000	2.2973e-16	2.1819e-17
4119.9000	2.2976e-16	2.1721e-17
4121.9000	2.2986e-16	2.1654e-17
4123.9000	2.3009e-16	2.1491e-17
4125.9000	2.3035e-16	2.2262e-17
4127.8000	2.3048e-16	2.3072e-17
4129.8000	2.3012e-16	2.3350e-17
4131.8000	2.2975e-16	2.0824e-17
4133.8000	2.2962e-16	2.0222e-17
4135.8000	2.2908e-16	2.0287e-17
4137.8000	2.2837e-16	2.0073e-17
4139.7000	2.2867e-16	2.1164e-17
4141.7000	2.2955e-16	2.1138e-17
4143.7000	2.2989e-16	2.1454e-17
4145.7000	2.2946e-16	2.1340e-17
4147.7000	2.2917e-16	2.1629e-17
4149.6000	2.2909e-16	2.1840e-17
4151.6000	2.2850e-16	2.1819e-17
4153.6000	2.2753e-16	2.1761e-17
4155.6000	2.2705e-16	2.2007e-17
4157.6000	2.2731e-16	2.2073e-17
4159.5000	2.2726e-16	2.2046e-17
4161.5000	2.2749e-16	2.2104e-17
4163.5000	2.2848e-16	2.0736e-17
4165.5000	2.2883e-16	1.8074e-17
4167.5000	2.2869e-16	1.8813e-17
4169.4000	2.2923e-16	1.8727e-17
4171.4000	2.3044e-16	1.8761e-17
4173.4000	2.3095e-16	1.8791e-17
4175.4000	2.3111e-16	1.8850e-17
4177.4000	2.3203e-16	1.7699e-17
4179.3000	2.3263e-16	1.8072e-17
4181.3000	2.3257e-16	1.9383e-17
4183.3000	2.3252e-16	1.9170e-17
4185.3000	2.3286e-16	1.9070e-17
4187.3000	2.3298e-16	1.8758e-17
4189.3000	2.3241e-16	1.6350e-17
4191.2000	2.3168e-16	1.6536e-17
4193.2000	2.3083e-16	1.6444e-17
4195.2000	2.3033e-16	1.6440e-17
4197.2000	2.3071e-16	1.5784e-17
4199.2000	2.3117e-16	1.5653e-17
4201.1000	2.3122e-16	1.5335e-17
4203.1000	2.3183e-16	1.5278e-17
4205.1000	2.3207e-16	1.5227e-17
4207.1000	2.3072e-16	1.5449e-17
4209.1000	2.2940e-16	1.5668e-17
4211.0000	2.2928e-16	1.6245e-17
4213.0000	2.2992e-16	1.8049e-17
4215.0000	2.3089e-16	1.8669e-17
4217.0000	2.3111e-16	1.8037e-17
4219.0000	2.3104e-16	1.8171e-17
4220.9000	2.3138e-16	1.8115e-17
4222.9000	2.3140e-16	1.8217e-17
4224.9000	2.3101e-16	1.8005e-17
4226.9000	2.3096e-16	1.8009e-17
4228.9000	2.3096e-16	1.7825e-17
4230.8000	2.3107e-16	1.6296e-17
4232.8000	2.3116e-16	1.5753e-17
4234.8000	2.3096e-16	1.5336e-17
4236.8000	2.3077e-16	1.4380e-17
4238.8000	2.2984e-16	1.3835e-17
4240.8000	2.2877e-16	1.3192e-17
4242.7000	2.2827e-16	1.3003e-17
4244.7000	2.2732e-16	1.2948e-17
4246.7000	2.2612e-16	1.3705e-17
4248.7000	2.2529e-16	1.4240e-17
4250.7000	2.2547e-16	1.4062e-17
4252.6000	2.2607e-16	1.5732e-17
4254.6000	2.2638e-16	1.7565e-17
4256.6000	2.2691e-16	1.7486e-17
4258.6000	2.2755e-16	1.7479e-17
4260.6000	2.2819e-16	1.7205e-17
4262.5000	2.2887e-16	1.5679e-17
4264.5000	2.2981e-16	1.4829e-17
4266.5000	2.3011e-16	1.5778e-17
4268.5000	2.3077e-16	1.6253e-17
4270.5000	2.3177e-16	1.6450e-17
