8.002699999999999818e+03 2.100000000000000087e-04
8.005900000000000546e+03 1.600000000000000131e-04
8.009099999999999454e+03 2.199999999999999807e-04
8.012200000000000728e+03 1.000000000000000048e-04
8.015399999999999636e+03 1.099999999999999904e-04
8.018600000000000364e+03 3.000000000000000076e-05
8.021799999999999272e+03 2.400000000000000061e-04
8.025000000000000000e+03 1.000000000000000048e-04
8.028099999999999454e+03 5.000000000000000240e-05
8.031300000000000182e+03 1.000000000000000082e-05
8.034500000000000000e+03 1.499999999999999869e-04
8.037699999999999818e+03 8.999999999999999212e-05
8.040800000000000182e+03 1.600000000000000131e-04
8.044000000000000000e+03 1.200000000000000030e-04
8.047200000000000728e+03 2.800000000000000297e-04
8.050399999999999636e+03 4.000000000000000192e-04
8.053500000000000000e+03 4.899999999999999842e-04
8.056699999999999818e+03 2.900000000000000017e-04
8.059899999999999636e+03 4.899999999999999842e-04
8.063099999999999454e+03 4.800000000000000122e-04
8.066199999999999818e+03 6.300000000000000261e-04
8.069400000000000546e+03 4.499999999999999877e-04
8.072600000000000364e+03 4.299999999999999894e-04
8.075700000000000728e+03 4.600000000000000139e-04
8.078899999999999636e+03 4.800000000000000122e-04
8.082100000000000364e+03 4.499999999999999877e-04
8.085199999999999818e+03 3.899999999999999929e-04
8.088400000000000546e+03 3.400000000000000244e-04
8.091599999999999454e+03 2.800000000000000297e-04
8.094800000000000182e+03 1.799999999999999842e-04
8.097899999999999636e+03 2.500000000000000052e-04
8.101100000000000364e+03 3.000000000000000076e-05
8.104299999999999272e+03 1.400000000000000148e-04
8.107399999999999636e+03 2.599999999999999772e-04
8.110599999999999454e+03 2.999999999999999737e-04
8.113699999999999818e+03 4.499999999999999877e-04
8.116900000000000546e+03 5.000000000000000104e-04
8.120100000000000364e+03 4.899999999999999842e-04
8.123200000000000728e+03 5.800000000000000034e-04
8.126399999999999636e+03 5.999999999999999474e-04
8.129600000000000364e+03 9.799999999999999684e-04
8.132699999999999818e+03 1.549999999999999946e-03
8.135900000000000546e+03 2.399999999999999790e-03
8.139099999999999454e+03 2.990000000000000036e-03
8.142200000000000728e+03 3.759999999999999887e-03
8.145399999999999636e+03 4.429999999999999910e-03
8.148500000000000000e+03 4.910000000000000302e-03
8.151699999999999818e+03 5.769999999999999955e-03
8.154899999999999636e+03 6.630000000000000476e-03
8.158000000000000000e+03 7.440000000000000432e-03
8.161199999999999818e+03 8.229999999999999469e-03
8.164299999999999272e+03 8.870000000000001147e-03
8.167500000000000000e+03 9.220000000000000764e-03
8.170599999999999454e+03 9.379999999999999449e-03
8.173800000000000182e+03 1.014999999999999930e-02
8.177000000000000000e+03 1.038999999999999993e-02
8.180100000000000364e+03 1.098999999999999977e-02
8.183300000000000182e+03 1.201000000000000158e-02
8.186399999999999636e+03 1.290000000000000001e-02
8.189600000000000364e+03 1.369000000000000078e-02
8.192700000000000728e+03 1.493000000000000056e-02
8.195899999999999636e+03 1.635999999999999954e-02
8.199000000000000000e+03 1.782999999999999863e-02
8.202200000000000728e+03 1.946000000000000160e-02
8.205399999999999636e+03 2.120999999999999969e-02
8.208500000000000000e+03 2.287999999999999756e-02
8.211699999999998909e+03 2.528999999999999998e-02
8.214799999999999272e+03 2.733000000000000013e-02
8.218000000000000000e+03 2.963000000000000009e-02
8.221100000000000364e+03 3.219999999999999946e-02
8.224299999999999272e+03 3.515000000000000069e-02
8.227399999999999636e+03 3.824999999999999928e-02
8.230599999999998545e+03 4.155000000000000360e-02
8.233700000000000728e+03 4.529999999999999999e-02
8.236900000000001455e+03 4.957000000000000295e-02
8.240000000000000000e+03 5.464000000000000801e-02
8.243200000000000728e+03 5.970999999999999919e-02
8.246299999999999272e+03 6.515999999999999570e-02
8.249400000000001455e+03 7.179000000000000659e-02
8.252600000000000364e+03 7.864999999999999769e-02
8.255700000000000728e+03 8.622000000000000497e-02
8.258899999999999636e+03 9.453000000000000291e-02
8.262000000000000000e+03 1.029800000000000021e-01
8.265200000000000728e+03 1.125200000000000089e-01
8.268300000000001091e+03 1.227800000000000141e-01
8.271500000000000000e+03 1.339600000000000235e-01
8.274600000000000364e+03 1.459099999999999842e-01
8.277700000000000728e+03 1.592000000000000082e-01
8.280899999999999636e+03 1.732899999999999996e-01
8.284000000000000000e+03 1.886499999999999844e-01
8.287200000000000728e+03 2.051300000000000345e-01
8.290299999999999272e+03 2.227300000000000113e-01
8.293500000000000000e+03 2.418700000000000294e-01
8.296600000000000364e+03 2.622599999999999931e-01
8.299700000000000728e+03 2.837999999999999967e-01
8.302899999999999636e+03 3.061800000000000077e-01
8.306000000000000000e+03 3.298100000000000476e-01
8.309100000000000364e+03 3.547299999999999898e-01
8.312299999999999272e+03 3.807699999999999974e-01
8.315399999999999636e+03 4.077500000000000013e-01
8.318600000000000364e+03 4.351800000000000113e-01
8.321699999999998909e+03 4.631500000000000061e-01
8.324799999999999272e+03 4.916299999999999559e-01
8.328000000000000000e+03 5.200799999999999867e-01
8.331100000000000364e+03 5.489699999999999580e-01
8.334199999999998909e+03 5.774799999999999933e-01
8.337399999999999636e+03 6.058000000000000052e-01
8.340500000000000000e+03 6.333900000000000086e-01
8.343600000000000364e+03 6.602899999999999325e-01
8.346799999999999272e+03 6.857599999999999252e-01
8.349899999999999636e+03 7.109300000000000619e-01
8.353000000000000000e+03 7.355099999999999971e-01
8.356200000000000728e+03 7.581900000000000306e-01
8.359299999999999272e+03 7.789400000000000768e-01
8.362399999999999636e+03 7.988100000000000200e-01
8.365599999999998545e+03 8.173099999999999810e-01
8.368700000000000728e+03 8.340900000000001091e-01
8.371799999999999272e+03 8.502500000000000613e-01
8.374899999999999636e+03 8.638700000000000268e-01
8.378099999999998545e+03 8.769900000000000473e-01
8.381200000000000728e+03 8.891800000000000814e-01
8.384299999999999272e+03 8.997899999999999787e-01
8.387500000000000000e+03 9.087300000000000377e-01
8.390599999999998545e+03 9.172700000000000298e-01
8.393700000000000728e+03 9.248900000000001009e-01
8.396799999999999272e+03 9.313700000000000312e-01
8.400000000000000000e+03 9.370300000000000296e-01
8.403099999999998545e+03 9.421699999999999520e-01
8.406200000000000728e+03 9.463800000000001100e-01
8.409299999999999272e+03 9.509900000000000020e-01
8.412500000000000000e+03 9.544599999999999751e-01
8.415599999999998545e+03 9.572000000000000508e-01
8.418700000000000728e+03 9.594400000000000706e-01
8.421799999999999272e+03 9.609600000000000364e-01
8.425000000000000000e+03 9.622799999999999132e-01
8.428099999999998545e+03 9.634999999999999121e-01
8.431200000000000728e+03 9.643699999999999495e-01
8.434299999999999272e+03 9.656100000000000794e-01
8.437399999999999636e+03 9.660699999999999843e-01
8.440599999999998545e+03 9.666800000000000948e-01
8.443700000000000728e+03 9.667900000000000382e-01
8.446799999999999272e+03 9.665500000000000203e-01
8.449899999999999636e+03 9.670000000000000817e-01
8.453000000000000000e+03 9.669499999999999762e-01
8.456200000000000728e+03 9.668099999999999472e-01
8.459299999999999272e+03 9.660100000000000353e-01
8.462399999999999636e+03 9.655100000000000904e-01
8.465500000000000000e+03 9.646800000000000930e-01
8.468600000000000364e+03 9.630200000000000982e-01
8.471699999999998909e+03 9.625199999999999312e-01
8.474899999999999636e+03 9.616299999999999848e-01
8.478000000000000000e+03 9.599200000000001065e-01
8.481100000000000364e+03 9.592000000000000526e-01
8.484199999999998909e+03 9.581600000000000117e-01
8.487299999999999272e+03 9.572100000000000053e-01
8.490399999999999636e+03 9.561600000000000099e-01
8.493500000000000000e+03 9.557200000000000140e-01
8.496600000000000364e+03 9.543600000000000971e-01
8.499799999999999272e+03 9.531699999999999617e-01
8.502899999999999636e+03 9.528600000000000403e-01
8.506000000000000000e+03 9.524899999999999478e-01
8.509100000000000364e+03 9.513400000000000745e-01
8.512200000000000728e+03 9.510800000000000365e-01
8.515299999999999272e+03 9.495999999999999996e-01
8.518399999999999636e+03 9.484900000000000553e-01
8.521500000000000000e+03 9.470600000000000129e-01
8.524600000000000364e+03 9.462000000000000410e-01
8.527700000000000728e+03 9.452899999999999636e-01
8.530899999999999636e+03 9.446099999999999497e-01
8.534000000000000000e+03 9.442199999999999482e-01
8.537100000000000364e+03 9.433599999999999763e-01
8.540200000000000728e+03 9.420800000000000285e-01
8.543300000000001091e+03 9.415900000000000380e-01
8.546399999999999636e+03 9.406300000000000772e-01
