wavelength	flux
3730.7	9.1476487e-16
3731.4	5.8215367e-17
3732.1	2.8797488e-16
3732.7	1.4457203e-15
3733.4	1.1404371e-15
3734.1	1.9686368e-15
3734.8	1.6964267e-15
3735.4	1.2430886e-16
3736.1	1.3687299e-16
3736.8	1.8082086e-16
3737.4	-3.7867861e-16
3738.1	9.1002243e-16
3738.8	1.1083793e-15
3739.5	5.4918416e-16
3740.1	1.3423731e-15
3740.8	2.0189333e-15
3741.5	1.3191972e-15
3742.2	1.5383203e-15
3742.8	2.8469473e-15
3743.5	1.9317266e-15
3744.2	1.0493515e-15
3744.9	1.0628238e-15
3745.5	9.0332613e-16
3746.2	7.6234775e-16
3746.9	6.2312045e-16
3747.5	4.8632799e-16
3748.2	3.5195933e-16
3748.9	2.200736e-16
3749.6	8.833956e-17
3750.2	-1.3483617e-17
3750.9	-3.6644125e-16
3751.6	5.659942e-16
3752.3	2.2419028e-15
3752.9	1.5875475e-15
3753.6	1.102042e-15
3754.3	7.7099058e-16
3755.0	1.50535e-15
3755.6	2.2646509e-15
3756.3	1.6357092e-15
3757.0	1.6749623e-15
3757.6	1.7352107e-15
3758.3	1.6487666e-15
3759.0	1.908573e-15
3759.7	2.9862528e-15
3760.3	3.3128871e-15
3761.0	1.899903e-15
3761.7	1.8031653e-15
3762.4	1.9381166e-15
3763.0	1.7901688e-15
3763.7	1.6785672e-15
3764.4	2.6674664e-15
3765.1	2.2036344e-15
3765.7	2.4938654e-15
3766.4	1.6113435e-15
3767.1	8.4303545e-16
3767.8	1.6075303e-15
3768.4	1.7172327e-15
3769.1	1.2287646e-15
3769.8	9.8132351e-16
3770.4	1.1403533e-15
3771.1	1.1930238e-15
3771.8	1.0905844e-15
3772.5	1.0641453e-15
3773.1	5.659775e-16
3773.8	6.2945325e-16
3774.5	4.3840856e-16
3775.2	1.9524266e-15
3775.8	1.6100919e-15
3776.5	9.6998673e-16
3777.2	1.4444106e-15
3777.9	1.07466e-15
3778.5	8.8008799e-16
3779.2	1.9279653e-15
3779.9	1.7246692e-15
3780.5	2.264006e-15
3781.2	2.5548378e-15
3781.9	1.3691206e-15
3782.6	9.6072045e-16
3783.2	1.1595743e-15
3783.9	1.1410153e-15
3784.6	1.5046152e-15
3785.3	7.9570162e-16
3785.9	2.3462087e-15
3786.6	1.3539933e-15
3787.3	1.1117287e-15
3788.0	1.4199717e-15
3788.6	1.1101227e-15
3789.3	6.4317628e-16
3790.0	1.9094806e-15
3790.6	6.4699793e-16
3791.3	4.7760626e-16
3792.0	6.8522854e-16
3792.7	1.3499197e-15
3793.3	9.7960844e-16
3794.0	1.5911665e-16
3794.7	8.9292623e-16
3795.4	1.3178441e-15
3796.0	9.635676e-16
3796.7	1.1703126e-15
3797.4	7.7263971e-16
3798.1	-6.5850881e-17
3798.7	1.2571111e-15
3799.4	1.574116e-15
3800.1	6.8834996e-16
3800.8	5.8177075e-16
3801.4	1.9673967e-15
3802.1	1.7533884e-15
3802.8	1.3362719e-15
3803.4	1.450491e-15
3804.1	1.272955e-15
3804.8	1.424268e-15
3805.5	1.4609167e-15
3806.1	2.0665336e-15
3806.8	1.5278122e-15
3807.5	1.2237043e-15
3808.2	1.4393747e-15
3808.8	5.6755933e-16
3809.5	5.1527457e-16
3810.2	1.4685427e-15
3810.9	9.1745303e-16
3811.5	9.3074847e-16
3812.2	1.2217114e-15
3812.9	1.4701707e-15
3813.5	9.048744e-16
3814.2	4.2889044e-16
3814.9	9.0001456e-16
3815.6	8.1325224e-16
3816.2	8.9253197e-16
3816.9	1.7452763e-15
3817.6	1.1806938e-15
3818.3	1.1149323e-15
3818.9	7.1894823e-16
3819.6	1.062537e-15
3820.3	1.8097048e-15
3821.0	1.6685113e-15
3821.6	9.4114369e-16
3822.3	1.0292783e-15
3823.0	8.2834058e-16
3823.6	1.4387332e-15
3824.3	1.2917226e-15
3825.0	9.3343037e-16
3825.7	1.1524778e-15
3826.3	1.321868e-15
3827.0	1.3933713e-15
3827.7	1.9470603e-15
3828.4	1.7374412e-15
3829.0	1.5631443e-15
3829.7	1.6530339e-15
3830.4	1.4098907e-15
3831.1	1.5152176e-15
3831.7	1.3833974e-15
3832.4	1.3826872e-15
3833.1	1.8113433e-15
3833.7	1.6822492e-15
3834.4	1.3026947e-15
3835.1	1.7442966e-15
3835.8	1.2453968e-15
3836.4	6.4385188e-16
3837.1	1.5167522e-15
3837.8	2.0064199e-15
3838.5	1.8622192e-15
3839.1	1.1855703e-15
3839.8	8.0567632e-16
3840.5	1.1045993e-15
3841.2	1.5231914e-15
3841.8	1.2577093e-15
3842.5	9.2124282e-16
3843.2	1.4977067e-15
3843.9	1.7481771e-15
3844.5	1.4342622e-15
3845.2	1.3720149e-15
3845.9	1.8374935e-15
3846.5	2.0022559e-15
3847.2	1.5537426e-15
3847.9	1.367382e-15
3848.6	1.6760979e-15
3849.2	1.8698112e-15
3849.9	1.984733e-15
3850.6	1.8569249e-15
3851.3	1.4830135e-15
3851.9	1.5817112e-15
3852.6	1.4762323e-15
3853.3	1.5905356e-15
3854.0	1.3214794e-15
3854.6	1.2484458e-15
3855.3	1.4208994e-15
3856.0	1.2640294e-15
3856.6	1.247542e-15
3857.3	1.3675262e-15
3858.0	1.6068894e-15
3858.7	1.6575396e-15
3859.3	1.5221444e-15
3860.0	1.0711866e-15
3860.7	1.1537816e-15
3861.4	1.3552573e-15
3862.0	1.3250977e-15
3862.7	1.5549043e-15
3863.4	1.3323296e-15
3864.1	1.3994967e-15
3864.7	9.4095127e-16
3865.4	8.674567e-16
3866.1	1.5058764e-15
3866.7	1.3948286e-15
3867.4	9.846429e-16
3868.1	1.2626302e-15
3868.8	1.1925745e-15
3869.4	1.1740291e-15
3870.1	1.3017553e-15
3870.8	1.1863341e-15
3871.5	7.9221552e-16
3872.1	1.1385267e-15
3872.8	1.1818686e-15
3873.5	1.1317499e-15
3874.2	1.170495e-15
3874.8	1.2974358e-15
3875.5	1.4930611e-15
3876.2	1.4852729e-15
3876.8	1.4069591e-15
3877.5	1.2426878e-15
3878.2	1.1899926e-15
3878.9	1.4308372e-15
3879.5	1.4565711e-15
3880.2	1.2249297e-15
3880.9	9.8906866e-16
3881.6	1.3479706e-15
3882.2	1.2931241e-15
3882.9	1.057387e-15
3883.6	1.2500087e-15
3884.3	1.5590328e-15
3884.9	1.5293978e-15
3885.6	1.1497087e-15
3886.3	1.1080648e-15
3887.0	6.4735775e-16
3887.6	8.4408475e-16
3888.3	1.2829662e-15
3889.0	1.4269114e-15
3889.6	1.2685217e-15
3890.3	1.4493374e-15
3891.0	1.8090222e-15
3891.7	1.3015355e-15
3892.3	1.2070221e-15
3893.0	1.528294e-15
3893.7	1.0707515e-15
3894.4	8.364174e-16
3895.0	8.5076638e-16
3895.7	1.2754372e-15
3896.4	1.4785899e-15
3897.1	1.1490457e-15
3897.7	1.1364558e-15
3898.4	1.4268858e-15
3899.1	1.3336506e-15
3899.7	8.9955094e-16
3900.4	1.3790076e-15
3901.1	1.2474015e-15
3901.8	1.1926705e-15
3902.4	1.2859573e-15
3903.1	1.6071039e-15
3903.8	1.8264531e-15
3904.5	1.226844e-15
3905.1	1.5088057e-15
3905.8	1.4555474e-15
3906.5	1.5205643e-15
3907.2	1.3994946e-15
3907.8	1.0214719e-15
3908.5	8.2048466e-16
