#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
9941.50673699	1.7824187107107037e-16	1.7806644449107802e-16	9.494275213972999e-17
9942.10669134	1.7105271230911981e-16	1.707950541172785e-16	9.376695433338999e-17
9942.7066457	1.7692319465549218e-16	1.767655708437226e-16	9.176897346777e-17
9943.30660005	1.565172787080577e-16	1.564844829987601e-16	9.152084081862e-17
9943.9065544	1.7662417456295561e-16	1.7661674148516468e-16	9.186451442676e-17
9944.50650876	1.3181034885506784e-16	1.3180628817618023e-16	9.129418832352001e-17
9945.10646311	1.4366647645478974e-16	1.4366251257546198e-16	9.157532663808e-17
9945.70741739	1.0776650685131038e-16	1.0776365167652681e-16	9.096362016972e-17
9946.30737174	1.0618697880906279e-16	1.061827429335445e-16	9.059138730072e-17
9946.9073261	1.0139209913151113e-16	1.0138065538307025e-16	9.077030274186e-17
9947.50728046	8.635309614138317e-17	8.633790215986484e-17	8.988856062208e-17
9948.10723481	1.0480085176060843e-16	1.0478994013845951e-16	9.078011631132e-17
9948.70718917	6.686293618272298e-17	6.686102895501038e-17	8.905925402472e-17
9949.30714353	1.153397952811027e-16	1.1533656988573112e-16	9.065504658807e-17
9949.90709789	3.670223529125211e-17	3.6696814093450203e-17	8.745238486656e-17
9950.50805217	5.826167499547545e-17	5.822987935378401e-17	8.6910149051e-17
9951.10800653	-3.045353993737049e-17	-3.042537247171212e-17	8.494191571053e-17
9951.70796089	6.249575118158301e-17	6.244480733652248e-17	8.619972565811e-17
9952.30791525	5.787914474959113e-17	5.783853976920229e-17	8.567973211811e-17
9952.90786962	2.042624988087281e-17	2.0412361840676337e-17	8.451477186354e-17
9953.50782398	4.3041501568624244e-18	4.302077882523613e-18	8.433465415794e-17
9954.10777834	3.605905464760525e-17	3.6051739397693546e-17	8.342814986984e-17
9954.7077327	5.358742475933891e-17	5.358131986343113e-17	8.237708756111998e-17
9955.30868699	4.9322948624170854e-17	4.930632625521524e-17	7.978590844488e-17
9955.90864135	-1.190265562813613e-16	-1.189342716727123e-16	7.85624270584e-17
9956.50859572	1.9384383833487875e-16	1.9365416794931327e-16	8.332751779512001e-17
9957.10855009	2.984326874164558e-17	2.9814287929699274e-17	8.135512381542e-17
9957.70850445	2.127061701014608e-16	2.1247224774146314e-16	8.10552333192e-17
9958.30845882	4.6991541701575235e-17	4.6951149512779007e-17	7.691660417995001e-17
9958.90841318	2.283676242051378e-16	2.2827515033672115e-16	7.84932871943e-17
9959.50836755	-1.1565499262949554e-16	-1.1564022130671996e-16	7.5855622635e-17
9960.10932184	1.5193679723746122e-16	1.5193218294635388e-16	7.79673733265e-17
9960.70927621	-3.121955184511894e-18	-3.121882211227857e-18	7.726864386620001e-17
9961.30923058	-2.4519788906017998e-17	-2.451766251846856e-17	7.44137063784e-17
9961.90918495	9.753149114702724e-17	9.75079450269558e-17	7.67438278169e-17
9962.50913932	3.600415369961893e-17	3.599254752169642e-17	7.521529627925e-17
9963.10909369	2.334266295752283e-16	2.3338499609359816e-16	7.582152100376e-17
9963.70904806	9.428014050498962e-17	9.42758001203246e-17	7.296256591134e-17
9964.30900244	2.1671612106246662e-16	2.167095773364699e-16	7.519600616292e-17
9964.90995673	-1.4182692841709491e-18	-1.4181707355656815e-18	7.157029116049999e-17
9965.5099111	-3.7577233378447725e-17	-3.757142913144784e-17	7.00305513768e-17
9966.10986548	2.085382409787353e-18	2.0847821372303238e-18	6.995604536198e-17
9966.70981985	3.840251743737596e-17	3.8382475313305765e-17	6.686824159827999e-17
9967.30977423	1.4089825204864914e-16	1.407168018648246e-16	6.847157051456001e-17
9967.9097286	3.2876316366011825e-18	3.2811109811115625e-18	6.804686308085999e-17
9968.50968298	-1.702922454873662e-17	-1.7008514439354176e-17	6.984213317914e-17
9969.10963735	1.3051312221118439e-17	1.3046633999022997e-17	6.651547100399e-17
9969.71059165	9.377267335919722e-17	9.374835815977361e-17	6.79106209428e-17
9970.31054603	3.039556442808687e-17	3.0385123516741086e-17	6.58899590335e-17
9970.91050041	-2.7087467875910744e-17	-2.708055546895311e-17	6.435253849893e-17
9971.51045479	-1.1833653219314068e-17	-1.1831813500886778e-17	6.566571903109999e-17
9972.11040917	4.156181568396466e-17	4.1558660063539355e-17	6.642113198244e-17
9972.71036355	1.6809373804407232e-16	1.6809006374255047e-16	6.581331328878001e-17
9973.31031793	9.111753008014053e-17	9.111665813696659e-17	6.530587126896e-17
9973.91127223	1.4693528543886444e-16	1.4693135801375864e-16	6.548373502524e-17
9974.51122661	1.4485833647933614e-16	1.4484310251529462e-16	6.420095639672001e-17
9975.11118099	2.713560752343314e-17	2.7130684578249112e-17	6.250529775454e-17
9975.71113538	9.346143523900578e-17	9.344760640679585e-17	6.222951343573001e-17
9976.31108976	1.3470675880107322e-17	1.3465992826381661e-17	6.139737008328e-17
9976.91104414	8.347335565407843e-17	8.334970945525407e-17	6.112231920158e-17
9977.51099853	2.001971475981284e-17	1.9967034789978238e-17	6.023327636839e-17
9978.11095291	1.3040291489378447e-16	1.3016497862160253e-16	6.093715112823e-17
9978.71190722	1.7233857589428052e-16	1.7223409387863823e-16	6.010126150593999e-17
