wavelength	flux
6386.7	3.2083962e-16
6387.9	3.2322643e-16
6389.1	3.3300264e-16
6390.1	3.2846658e-16
6391.3	3.3355112e-16
6392.4	3.3539355e-16
6393.6	3.2842216e-16
6394.7	3.2456168e-16
6395.9	3.1931942e-16
6397.1	3.1345137e-16
6398.2	3.1710039e-16
6399.4	3.2693036e-16
6400.4	3.3270773e-16
6401.6	3.283117e-16
6402.8	3.3148905e-16
6403.9	3.2201901e-16
6405.1	3.1599122e-16
6406.2	3.2733237e-16
6407.4	3.3147627e-16
6408.5	3.1668595e-16
6409.7	3.0742273e-16
6410.8	3.1521524e-16
6411.9	3.213104e-16
6413.1	3.1429695e-16
6414.2	3.1647928e-16
6415.4	3.2178353e-16
6416.6	3.2423257e-16
6417.7	3.2519881e-16
6418.9	3.1542361e-16
6420.0	3.1163403e-16
6421.1	3.1772423e-16
6422.2	3.1474012e-16
6423.4	3.1731242e-16
6424.6	3.2138012e-16
6425.7	3.2024373e-16
6426.9	3.1737756e-16
6428.0	3.232552e-16
6429.2	3.301647e-16
6430.4	3.17271e-16
6431.4	3.1393185e-16
6432.6	3.2009184e-16
6433.7	3.1956605e-16
6434.9	3.2113207e-16
6436.0	3.3514545e-16
6437.2	3.312281e-16
6438.4	3.151851e-16
6439.5	3.25311e-16
6440.7	3.2428374e-16
6441.7	3.1489233e-16
6442.9	3.1398718e-16
6444.1	3.1588828e-16
6445.2	3.1807519e-16
6446.4	3.1745666e-16
6447.5	3.2243449e-16
6448.7	3.1705893e-16
6449.8	3.097593e-16
6451.0	3.140375e-16
6452.1	3.1215946e-16
6453.2	3.1425439e-16
6454.4	3.1004258e-16
6455.5	3.0820464e-16
6456.7	3.2325875e-16
6457.9	3.2571993e-16
6459.0	3.2024419e-16
6460.2	3.1878574e-16
6461.3	3.1882715e-16
6462.4	3.1954114e-16
6463.5	3.240986e-16
6464.7	3.1851084e-16
6465.9	3.2041646e-16
6467.0	3.1775925e-16
6468.2	3.0978696e-16
6469.3	3.0974554e-16
6470.5	3.1562256e-16
6471.7	3.1041931e-16
6472.7	3.0722498e-16
6473.9	3.1611857e-16
6475.0	3.2643902e-16
6476.2	3.2616128e-16
6477.3	3.1478887e-16
6478.5	3.0874961e-16
6479.7	3.1702443e-16
6480.8	3.2529289e-16
6482.0	3.2358597e-16
6483.0	3.185586e-16
6484.2	3.1825475e-16
6485.4	3.1516544e-16
6486.5	3.140309e-16
6487.7	3.09348e-16
6488.8	3.0682446e-16
6490.0	3.1173345e-16
6491.1	3.0971554e-16
6492.2	3.1860471e-16
6493.4	3.2127148e-16
6494.5	3.1569393e-16
6495.7	3.0813853e-16
6496.8	3.0901551e-16
6498.0	3.2649982e-16
6499.1	3.2268919e-16
6500.3	3.0832087e-16
6501.5	3.0643068e-16
6502.5	3.0837608e-16
6503.7	3.0867939e-16
6504.8	3.0918344e-16
6506.0	3.1154495e-16
6507.2	3.0993862e-16
6508.3	3.0541012e-16
6509.5	3.1247403e-16
6510.6	3.2000804e-16
6511.8	3.2200721e-16
6512.8	3.2316971e-16
6514.0	3.1893559e-16
6515.2	3.130359e-16
6516.3	3.1209037e-16
6517.5	3.1856722e-16
6518.6	3.1691614e-16
6519.8	3.2010783e-16
6521.0	3.2874808e-16
6522.1	3.1755499e-16
6523.2	3.1075881e-16
6524.3	3.0808386e-16
6525.5	3.0851867e-16
6526.6	3.171649e-16
6527.8	3.278188e-16
6529.0	3.2310853e-16
6530.1	3.1819384e-16
6531.3	3.2391227e-16
6532.4	3.2378203e-16
6533.5	3.1616387e-16
6534.7	3.1251234e-16
6535.8	3.1228162e-16
6537.0	3.1036949e-16
6538.1	3.1980991e-16
6539.3	3.2204098e-16
6540.4	3.1790179e-16
6541.6	3.1509949e-16
6542.8	3.2045372e-16
6543.8	3.1759385e-16
6545.0	3.0898109e-16
6546.1	3.1392519e-16
6547.3	3.1641585e-16
6548.5	3.1417837e-16
6549.6	3.1387458e-16
6550.8	3.125457e-16
6551.9	3.071592e-16
6553.1	3.1287211e-16
6554.1	3.2960238e-16
6555.3	3.1778421e-16
6556.5	3.049266e-16
6557.6	3.0755067e-16
6558.8	3.163217e-16
6559.9	3.1292374e-16
6561.1	3.146654e-16
6562.3	3.1706448e-16
6563.4	3.0736441e-16
6564.5	3.1482616e-16
6565.6	3.1617036e-16
6566.8	3.0650094e-16
6567.9	3.0280966e-16
6569.1	3.0816705e-16
6570.3	3.1334764e-16
6571.4	3.1272208e-16
6572.6	3.162173e-16
6573.7	3.2399129e-16
6574.8	3.2430812e-16
6576.0	3.1780491e-16
6577.1	3.1343887e-16
6578.3	3.0869148e-16
6579.4	3.1040554e-16
6580.6	3.1357222e-16
6581.7	3.1074463e-16
6582.9	3.026043e-16
6584.1	3.0870803e-16
6585.1	3.1613942e-16
6586.3	3.1318574e-16
6587.4	3.1380525e-16
6588.6	3.1573401e-16
6589.7	3.1427273e-16
6590.9	3.1942938e-16
6592.1	3.1598776e-16
6593.2	3.1545929e-16
6594.4	3.1523858e-16
6595.4	3.0711639e-16
6596.6	3.0779208e-16
6597.8	3.1631039e-16
6598.9	3.1735428e-16
6600.1	3.1793879e-16
6601.2	3.2068026e-16
6602.4	3.1360996e-16
6603.5	3.1205372e-16
6604.7	3.105118e-16
6605.8	3.048391e-16
6606.9	3.0378031e-16
6608.1	3.0813175e-16
6609.2	3.0467895e-16
6610.4	3.0729307e-16
6611.6	3.2131674e-16
6612.7	3.2020666e-16
6613.9	3.0467092e-16
6615.0	3.0638095e-16
6616.1	3.1745714e-16
6617.2	3.1713048e-16
6618.4	3.207335e-16
6619.6	3.1776162e-16
6620.7	3.0741772e-16
6621.9	3.0365363e-16
6623.0	3.0885009e-16
6624.2	3.2242674e-16
6625.4	3.145761e-16
6626.4	3.1196869e-16
6627.6	3.0927389e-16
6628.7	3.1393881e-16
6629.9	3.1089571e-16
6631.0	3.0914925e-16
6632.2	3.0574957e-16
6633.4	3.0175027e-16
6634.5	3.1135601e-16
6635.7	3.1057469e-16
6636.7	3.0789109e-16
6637.9	3.1044647e-16
6639.1	3.0809528e-16
6640.2	3.0275743e-16
6641.4	2.9977364e-16
6642.5	3.1542209e-16
6643.7	3.2141667e-16
6644.8	3.1546974e-16
6646.0	3.1543787e-16
6647.1	3.1105815e-16
6648.2	3.0247196e-16
6649.4	3.0675501e-16
6650.5	3.1160098e-16
6651.7	3.0387112e-16
6652.9	3.153423e-16
6654.0	3.1333448e-16
6655.2	3.0770437e-16
6656.3	3.069804e-16
6657.4	3.0475552e-16
6658.5	3.0739551e-16
6659.7	3.0959364e-16
6660.9	2.9906743e-16
6662.0	3.0066596e-16
6663.2	3.0062481e-16
6664.3	2.9927626e-16
6665.5	3.0499799e-16
6666.7	3.0700998e-16
6667.7	2.9860961e-16
6668.9	2.9747282e-16
6670.0	3.0173932e-16
6671.2	3.0339998e-16
6672.3	3.0194649e-16
6673.5	3.040363e-16
6674.7	2.9977011e-16
6675.8	3.0436718e-16
6677.0	3.1741099e-16
6678.0	3.2034785e-16
6679.2	3.1300515e-16
6680.4	3.0066156e-16
6681.5	2.9459921e-16
6682.7	2.9831282e-16
6683.8	3.0418606e-16
6685.0	3.0537155e-16
6686.1	2.9801885e-16
6687.3	3.0656992e-16
6688.4	3.0516915e-16
6689.5	3.0226308e-16
6690.7	3.061993e-16
6691.8	3.0363694e-16
6693.0	3.064081e-16
6694.1	3.0766667e-16
6695.3	2.9904624e-16
6696.5	2.9391529e-16
6697.6	2.937556e-16
6698.7	2.9794438e-16
6699.8	3.0510092e-16
6701.0	2.977364e-16
6702.2	2.9001855e-16
6703.3	2.9713434e-16
6704.5	2.982693e-16
6705.6	3.0187242e-16
6706.8	2.9789585e-16
6707.9	2.9462465e-16
6709.0	3.0378729e-16
6710.2	3.0573325e-16
6711.3	3.0140966e-16
6712.5	3.0480086e-16
6713.6	3.0301626e-16
6714.8	2.9672985e-16
6716.0	2.9376049e-16
6717.1	2.9522871e-16
6718.3	3.0489528e-16
6719.3	3.0197902e-16
6720.5	2.946984e-16
6721.6	2.8765786e-16
6722.8	2.9469287e-16
6724.0	2.992644e-16
6725.1	2.9978099e-16
6726.3	2.9876146e-16
6727.4	2.8561333e-16
6728.6	2.8071185e-16
6729.7	2.8748328e-16
6730.8	2.9208467e-16
6732.0	2.9473443e-16
6733.1	2.9718588e-16
6734.3	2.9440998e-16
6735.4	2.8738094e-16
6736.6	2.8722323e-16
6737.8	2.8673321e-16
6738.9	2.8421829e-16
6740.0	2.9090296e-16
6741.1	3.078219e-16
6742.3	3.059781e-16
6743.5	2.9684898e-16
6744.6	2.9696624e-16
6745.8	2.9386241e-16
6746.9	2.9477115e-16
6748.1	2.937748e-16
6749.2	2.8906441e-16
6750.3	2.9439299e-16
6751.5	3.0294506e-16
6752.6	3.0261412e-16
6753.8	2.9587035e-16
6754.9	3.0264128e-16
6756.1	3.0726606e-16
6757.3	2.9471722e-16
6758.4	2.9467052e-16
6759.5	2.9773207e-16
6760.6	2.892949e-16
6761.8	2.9629574e-16
6762.9	3.0029289e-16
6764.1	2.8656186e-16
6765.3	2.9103177e-16
6766.4	3.0769309e-16
6767.6	3.0342925e-16
6768.7	2.9816062e-16
6769.8	3.0029077e-16
6771.0	3.0037348e-16
6772.1	2.9360798e-16
6773.3	2.883181e-16
6774.4	2.9052914e-16
6775.6	3.0083305e-16
6776.7	2.9950638e-16
6777.9	2.9326756e-16
6779.1	2.9096638e-16
6780.1	2.8866727e-16
6781.3	2.8064522e-16
6782.4	2.8336818e-16
6783.6	2.9043856e-16
6784.8	3.0100714e-16
6785.9	2.9098083e-16
6787.1	2.803311e-16
6788.2	2.8467809e-16
6789.4	2.857924e-16
6790.4	2.9508603e-16
6791.6	2.9478959e-16
6792.8	2.8844474e-16
6793.9	2.8398859e-16
6795.1	2.8832934e-16
6796.2	2.9591175e-16
6797.4	2.9189032e-16
6798.5	2.8060127e-16
6799.7	2.7140154e-16
6800.8	2.6346935e-16
6801.9	2.6429713e-16
6803.1	2.9745584e-16
6804.2	2.8751856e-16
6805.4	2.6766655e-16
6806.6	2.6905611e-16
6807.7	2.7174322e-16
6808.9	2.6890394e-16
6810.0	2.790786e-16
6811.1	2.9275704e-16
6812.2	2.8911211e-16
6813.4	2.8971439e-16
6814.6	2.9957569e-16
6815.7	2.8363448e-16
6816.9	2.8188404e-16
6818.0	2.8710885e-16
6819.2	2.7490103e-16
6820.4	2.7143687e-16
6821.4	2.748967e-16
6822.6	2.8311766e-16
6823.7	2.8916601e-16
6824.9	2.8103118e-16
6826.0	2.8612525e-16
6827.2	2.919487e-16
6828.4	2.8130693e-16
6829.5	2.7680288e-16
6830.7	2.8032355e-16
6831.7	2.8084021e-16
6832.9	2.7963947e-16
6834.1	2.9031664e-16
6835.2	2.8508046e-16
6836.4	2.8722215e-16
6837.5	2.8888177e-16
6838.7	2.8572959e-16
6839.8	2.7657458e-16
6841.0	2.7194414e-16
6842.1	2.7868122e-16
6843.2	2.8529294e-16
