wavelength	flux
4238.8	2.0500133e-16
4240.8	2.4327503e-16
4242.7	2.4175944e-16
4244.7	2.2000918e-16
4246.7	2.3495317e-16
4248.7	2.4282047e-16
4250.7	2.2045163e-16
4252.6	2.0568632e-16
4254.6	2.1295394e-16
4256.6	2.21427e-16
4258.6	2.1851662e-16
4260.6	2.203171e-16
4262.5	2.3231118e-16
4264.5	2.2921438e-16
4266.5	2.1868219e-16
4268.5	2.2212168e-16
4270.5	2.5130359e-16
4272.4	2.5000007e-16
4274.4	2.2837758e-16
4276.4	2.6448952e-16
4278.4	2.6977903e-16
4280.4	2.3103844e-16
4282.3	2.241079e-16
4284.3	2.4499675e-16
4286.3	2.5379498e-16
4288.3	2.2626754e-16
4290.3	2.0897215e-16
4292.2	2.1376845e-16
4294.2	2.2203631e-16
4296.2	2.4975257e-16
4298.2	2.488635e-16
4300.2	2.3352232e-16
4302.2	2.4950589e-16
4304.1	2.5435849e-16
4306.1	2.24408e-16
4308.1	2.0930396e-16
4310.1	2.1921668e-16
4312.1	2.4218502e-16
4314.0	2.639524e-16
4316.0	2.3568908e-16
4318.0	2.2662907e-16
4320.0	2.6596228e-16
4322.0	2.7026107e-16
4323.9	2.3904076e-16
4325.9	2.3747322e-16
4327.9	2.3773766e-16
4329.9	2.4838702e-16
4331.9	2.494339e-16
4333.8	2.3875669e-16
4335.8	2.3191164e-16
4337.8	2.2832877e-16
4339.8	2.4203776e-16
4341.8	2.5013927e-16
4343.7	2.2955802e-16
4345.7	2.0125647e-16
4347.7	2.0814398e-16
4349.7	2.3661935e-16
4351.7	2.4756172e-16
4353.7	2.4454156e-16
4355.6	2.5657479e-16
4357.6	2.5056405e-16
4359.6	2.4851897e-16
4361.6	2.3699915e-16
4363.6	2.2128912e-16
4365.5	2.1941136e-16
4367.5	2.4807751e-16
4369.5	2.6504183e-16
4371.5	2.5354379e-16
4373.5	2.493733e-16
4375.4	2.4372287e-16
4377.4	2.3607523e-16
4379.4	2.348981e-16
4381.4	2.461986e-16
4383.4	2.4417915e-16
4385.3	2.3169797e-16
4387.3	2.3866672e-16
4389.3	2.4518127e-16
4391.3	2.5858942e-16
4393.3	2.6495633e-16
4395.2	2.4856536e-16
4397.2	2.4573459e-16
4399.2	2.3422181e-16
4401.2	2.370768e-16
4403.2	2.4870272e-16
4405.2	2.338127e-16
4407.1	2.5386305e-16
4409.1	2.7364384e-16
4411.1	2.7398794e-16
4413.1	2.4246436e-16
4415.1	2.3072957e-16
4417.0	2.3172919e-16
4419.0	2.3212771e-16
4421.0	2.4026644e-16
4423.0	2.3960153e-16
4425.0	2.3881191e-16
4426.9	2.4163988e-16
4428.9	2.4731753e-16
4430.9	2.5571452e-16
4432.9	2.4442172e-16
4434.9	2.3713588e-16
4436.8	2.5570958e-16
4438.8	2.4454805e-16
4440.8	2.5150799e-16
4442.8	2.5698119e-16
4444.8	2.6585149e-16
4446.7	2.4987119e-16
4448.7	2.1841261e-16
4450.7	2.4507422e-16
4452.7	2.7733118e-16
4454.7	2.7267974e-16
4456.7	2.509142e-16
4458.6	2.4383786e-16
4460.6	2.4524584e-16
4462.6	2.3626279e-16
4464.6	2.4582104e-16
4466.6	2.5031947e-16
4468.5	2.5017358e-16
4470.5	2.5805148e-16
4472.5	2.4608748e-16
4474.5	2.3767527e-16
4476.5	2.5196653e-16
4478.4	2.5415589e-16
4480.4	2.4337859e-16
4482.4	2.401026e-16
4484.4	2.4499002e-16
4486.4	2.3829322e-16
4488.3	2.342372e-16
4490.3	2.3247843e-16
4492.3	2.3280597e-16
4494.3	2.4410381e-16
4496.3	2.4857289e-16
4498.2	2.4342644e-16
4500.2	2.4369307e-16
4502.2	2.4729185e-16
4504.2	2.3935066e-16
4506.2	2.3378449e-16
4508.1	2.378191e-16
4510.1	2.4150576e-16
4512.1	2.5138412e-16
4514.1	2.458708e-16
4516.1	2.7065574e-16
4518.1	2.7082556e-16
4520.0	2.3493272e-16
4522.0	2.2713185e-16
4524.0	2.3277199e-16
4526.0	2.4219214e-16
4528.0	2.5738095e-16
4529.9	2.5359577e-16
4531.9	2.4588513e-16
4533.9	2.5158023e-16
4535.9	2.6278661e-16
4537.9	2.6780331e-16
4539.8	2.5134506e-16
