#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
2989.59923955	-3.098810552548467e-16	-3.098810552548467e-16	7.312060018054999e-16
2989.79922299	-3.0396977666531577e-16	-3.0396977666531577e-16	7.323888829320001e-16
2989.99920644	-2.9958448898681526e-16	-2.9958448898681526e-16	7.323906930137997e-16
2990.19918989	-2.937204951210664e-16	-2.937204951210664e-16	7.342034380560003e-16
2990.39917333	-2.861535049225234e-16	-2.861535049225234e-16	7.339548352014e-16
2990.59915678	-2.784521995926325e-16	-2.784521995926325e-16	7.369059966345998e-16
2990.79914022	-2.689605165586323e-16	-2.689605165586323e-16	7.356095059599999e-16
2990.99912367	-2.5640382087991156e-16	-2.5640382087991156e-16	7.410129953341998e-16
2991.19910712	-2.5984144745623433e-16	-2.5984144745623433e-16	7.370196468548e-16
2991.39909056	-1.7911358980593226e-16	-1.7911358980593226e-16	7.554654674049999e-16
2991.59907401	-3.2237628107039935e-16	-3.2237628107039935e-16	7.199523449664001e-16
2991.79905746	-9.905724196651727e-16	-9.905724196651727e-16	6.917625963219997e-16
2991.9990409	-8.288164092053687e-16	-8.288164092053687e-16	6.736673292749997e-16
2992.19902435	-2.3203990192863134e-16	-2.3203990192863134e-16	6.861098642478e-16
2992.3990078	-5.559291065939883e-16	-5.559291065939883e-16	6.576406181051997e-16
2992.59899124	-5.724772642479516e-16	-5.724772642479516e-16	6.452673596343001e-16
2992.79897469	-3.224641261854894e-16	-3.224641261854894e-16	6.476586360570002e-16
2992.99895814	-1.1378358422387475e-16	-1.1378358422387475e-16	6.482792100015998e-16
2993.19894158	-2.6108032937635485e-16	-2.6108032937635485e-16	6.274076886433999e-16
2993.39892503	-5.772969570820452e-16	-5.772969570820452e-16	6.20483130316e-16
2993.59890848	-7.549786523254845e-16	-7.549786523254845e-16	6.116966000103001e-16
2993.79889193	-2.6780361861928116e-17	-2.6780361861928116e-17	6.221352172257001e-16
2993.99887537	-4.799647934037422e-16	-4.799647934037422e-16	5.825439420910001e-16
2994.19885882	-4.942696457680853e-16	-4.942696457680853e-16	5.738658982869999e-16
2994.39884227	-1.8318503725606057e-16	-1.8318503725606057e-16	5.845721850863999e-16
2994.59982563	-2.583029366213754e-16	-2.583029366213754e-16	5.620098043710001e-16
2994.79980908	-4.492420028064708e-16	-4.492420028064708e-16	5.366256030959998e-16
2994.99979252	-7.905132694770679e-16	-7.905132694770679e-16	5.361895352328001e-16
2995.19977597	-7.008902878677305e-16	-7.008902878677305e-16	5.439992776427999e-16
2995.39975942	-8.180240586605452e-16	-8.180240586605452e-16	5.327903127854999e-16
2995.59974286	-4.427732782893042e-16	-4.427732782893042e-16	5.344331864475999e-16
2995.79972631	-4.29258051947177e-16	-4.29258051947177e-16	5.156252301254e-16
2995.99970976	-1.7059705093352938e-16	-1.7059705093352938e-16	5.296194908122e-16
2996.19969321	-1.647544204736382e-17	-1.647544204736382e-17	5.059518691963999e-16
2996.39967665	-2.320368330313342e-16	-2.320368330313342e-16	5.008132121272001e-16
2996.5996601	1.3492977662820674e-16	1.3492977662820674e-16	5.158899186288e-16
2996.79964355	-2.3565256761719507e-16	-2.3565256761719507e-16	4.885839454620001e-16
2996.99962699	-4.861450573591289e-16	-4.861450573591289e-16	4.662243584073001e-16
2997.19961044	-4.5494398774110195e-16	-4.5494398774110195e-16	4.557812190372001e-16
2997.39959389	-8.784059022081207e-17	-8.784059022081207e-17	4.568959330110001e-16
2997.59957734	-1.4837296124422755e-16	-1.4837296124422755e-16	4.434643560329998e-16
2997.79956078	-3.352295795773018e-16	-3.352295795773018e-16	4.342685951304e-16
2997.99954423	-2.400066942491705e-16	-2.400066942491705e-16	4.384282667208e-16
2998.19952768	8.452522773851799e-17	8.452522773851799e-17	4.432241513250001e-16
2998.39951112	-1.5461620850299772e-16	-1.5461620850299772e-16	4.114115556515998e-16
2998.59949457	-1.1234027261753995e-16	-1.1234027261753995e-16	4.107904049476001e-16
2998.79947802	-2.1505052513942638e-16	-2.1505052513942638e-16	4.050854225674999e-16
2998.99946147	-3.878631056023921e-16	-3.878631056023921e-16	3.90008466189e-16
2999.19944491	-5.901090780773646e-16	-5.901090780773646e-16	3.859036898907e-16
2999.39942836	-7.419993544580663e-16	-7.419993544580663e-16	3.689830513382999e-16
