#wls	flux	flux_err
nan	1.8415e-17	1.1072e-17
nan	1.8390e-17	1.0987e-17
nan	1.8373e-17	1.1007e-17
nan	1.8550e-17	1.1021e-17
nan	1.8708e-17	1.0342e-17
nan	1.8878e-17	1.0362e-17
nan	1.8952e-17	1.0466e-17
nan	1.8769e-17	1.0604e-17
nan	1.8920e-17	1.0581e-17
nan	1.8869e-17	1.0593e-17
nan	1.8788e-17	1.0621e-17
nan	1.8569e-17	1.0519e-17
nan	1.8702e-17	1.0467e-17
nan	1.8779e-17	1.0452e-17
nan	1.8928e-17	1.0182e-17
nan	1.8940e-17	1.0172e-17
nan	1.9048e-17	9.7063e-18
nan	1.9011e-17	9.6231e-18
nan	1.9293e-17	9.7955e-18
nan	1.9388e-17	9.7705e-18
nan	1.9570e-17	9.7197e-18
nan	1.9499e-17	9.4298e-18
nan	1.9405e-17	9.4211e-18
nan	1.9284e-17	9.3459e-18
nan	1.9165e-17	9.2747e-18
nan	1.9110e-17	9.3914e-18
nan	1.8961e-17	9.3281e-18
nan	1.8870e-17	9.2723e-18
nan	1.8940e-17	9.2210e-18
nan	1.8991e-17	9.2054e-18
nan	1.9185e-17	9.1670e-18
nan	1.9382e-17	9.1323e-18
nan	1.9410e-17	9.1376e-18
nan	1.9619e-17	9.1068e-18
nan	1.9399e-17	9.0828e-18
nan	1.9436e-17	9.0802e-18
nan	1.9443e-17	9.0580e-18
nan	1.9589e-17	9.0554e-18
nan	1.9437e-17	9.0539e-18
nan	1.9537e-17	9.0567e-18
nan	1.9665e-17	9.0627e-18
nan	1.9745e-17	9.0706e-18
nan	1.9883e-17	9.0802e-18
nan	1.9826e-17	9.0904e-18
nan	1.9743e-17	9.1028e-18
nan	1.9828e-17	9.1156e-18
nan	1.9766e-17	9.1363e-18
nan	1.9889e-17	9.0730e-18
nan	1.9757e-17	8.9853e-18
nan	1.9746e-17	8.8687e-18
nan	1.9845e-17	8.7587e-18
nan	2.0075e-17	8.6540e-18
nan	2.0002e-17	8.4912e-18
nan	2.0130e-17	8.5018e-18
nan	2.0011e-17	8.1379e-18
nan	1.9975e-17	8.1222e-18
nan	1.9898e-17	8.0906e-18
nan	1.9854e-17	8.0809e-18
nan	1.9931e-17	7.7406e-18
nan	1.9924e-17	7.7549e-18
nan	1.9823e-17	7.6652e-18
nan	1.9828e-17	7.6561e-18
nan	1.9536e-17	7.5872e-18
nan	1.9502e-17	7.4459e-18
nan	1.9445e-17	7.3466e-18
nan	1.9463e-17	7.3323e-18
nan	1.9537e-17	7.1496e-18
nan	1.9628e-17	7.0940e-18
nan	1.9741e-17	7.1042e-18
nan	1.9690e-17	7.1007e-18
nan	1.9527e-17	7.0156e-18
nan	1.9588e-17	6.6429e-18
nan	1.9536e-17	6.4477e-18
nan	1.9478e-17	6.1948e-18
nan	1.9404e-17	6.1145e-18
nan	1.9394e-17	6.0146e-18
nan	1.9460e-17	6.0019e-18
nan	1.9505e-17	5.8597e-18
nan	1.9678e-17	5.8245e-18
nan	1.9761e-17	5.7552e-18
nan	1.9828e-17	5.6622e-18
nan	1.9758e-17	5.6224e-18
nan	1.9834e-17	5.5955e-18
nan	1.9689e-17	5.5734e-18
nan	1.9692e-17	5.5169e-18
nan	1.9550e-17	5.2134e-18
nan	1.9551e-17	4.7776e-18
nan	1.9459e-17	4.7652e-18
nan	1.9606e-17	4.8078e-18
nan	1.9819e-17	4.7595e-18
nan	1.9592e-17	4.7780e-18
nan	1.9527e-17	4.9419e-18
nan	1.9495e-17	4.9458e-18
nan	1.9347e-17	4.9536e-18
nan	1.9353e-17	4.9312e-18
nan	1.9272e-17	4.9040e-18
nan	1.9209e-17	4.8688e-18
nan	1.9271e-17	4.4489e-18
nan	1.9350e-17	4.4365e-18
nan	1.9440e-17	4.2380e-18
nan	1.9462e-17	4.2507e-18
nan	1.9454e-17	4.2873e-18
nan	1.9519e-17	4.3207e-18
nan	1.9502e-17	4.3798e-18
nan	1.9509e-17	4.1386e-18
nan	1.9520e-17	4.1962e-18
nan	1.9513e-17	4.3015e-18
nan	1.9586e-17	4.2948e-18
nan	1.9520e-17	4.2640e-18
nan	1.9521e-17	4.2952e-18
nan	1.9482e-17	4.2926e-18
nan	1.9392e-17	4.4779e-18
nan	1.9382e-17	4.7305e-18
nan	1.9422e-17	4.9370e-18
nan	1.9387e-17	4.9527e-18
nan	1.9280e-17	4.9922e-18
nan	1.9290e-17	5.0633e-18
nan	1.9293e-17	5.2216e-18
nan	1.9384e-17	5.2977e-18
nan	1.9463e-17	5.4604e-18
nan	1.9404e-17	5.4539e-18
nan	1.9284e-17	5.4294e-18
nan	1.9290e-17	5.3978e-18
nan	1.9235e-17	5.3176e-18
nan	1.8984e-17	5.2430e-18
nan	1.8961e-17	5.2231e-18
nan	1.8908e-17	5.2043e-18
nan	1.9006e-17	5.2766e-18
nan	1.9008e-17	5.3379e-18
nan	1.9021e-17	5.3269e-18
nan	1.8992e-17	5.6107e-18
nan	1.9069e-17	5.5921e-18
nan	1.9112e-17	5.6005e-18
nan	1.9066e-17	5.6044e-18
nan	1.8910e-17	5.7877e-18
nan	1.8882e-17	5.7547e-18
nan	1.8660e-17	5.7610e-18
nan	1.8596e-17	5.7647e-18
nan	1.8602e-17	5.8944e-18
