#wls	flux	flux_err
nan	3.8587e-17	5.3585e-17
nan	3.9683e-17	5.3585e-17
nan	4.0675e-17	5.3585e-17
nan	4.1994e-17	5.3585e-17
nan	4.3062e-17	5.3585e-17
nan	4.4153e-17	5.3585e-17
nan	4.5480e-17	5.3585e-17
nan	4.6191e-17	5.3585e-17
nan	4.7500e-17	5.3585e-17
nan	4.8695e-17	5.3585e-17
nan	4.9431e-17	5.3585e-17
nan	5.0663e-17	5.3585e-17
nan	5.2046e-17	5.3585e-17
nan	5.2677e-17	5.3585e-17
nan	5.3697e-17	5.3585e-17
nan	5.4744e-17	5.3585e-17
nan	5.5205e-17	5.3585e-17
nan	5.5884e-17	5.3585e-17
nan	5.7060e-17	5.3585e-17
nan	5.8327e-17	5.3585e-17
nan	5.9386e-17	5.3585e-17
nan	6.0282e-17	5.3585e-17
nan	6.1043e-17	5.3585e-17
nan	6.1809e-17	5.3585e-17
nan	6.2243e-17	5.3585e-17
nan	6.3304e-17	5.3585e-17
nan	6.4323e-17	5.3585e-17
nan	6.5116e-17	5.3585e-17
nan	6.5443e-17	5.3585e-17
nan	6.6094e-17	5.3585e-17
nan	6.6931e-17	5.3585e-17
nan	6.7690e-17	5.3585e-17
nan	6.8390e-17	5.3585e-17
nan	6.9074e-17	5.3585e-17
nan	6.9636e-17	5.3585e-17
nan	7.0312e-17	5.3585e-17
nan	7.1144e-17	5.3585e-17
nan	7.1911e-17	5.3585e-17
nan	7.2647e-17	5.3585e-17
nan	7.3766e-17	5.3585e-17
nan	7.4595e-17	5.3733e-17
nan	7.5224e-17	5.3505e-17
nan	7.6158e-17	5.3505e-17
nan	7.7042e-17	5.3325e-17
nan	7.7149e-17	5.4059e-17
nan	7.7874e-17	5.4412e-17
nan	7.8224e-17	5.5638e-17
nan	7.8885e-17	5.5706e-17
nan	7.9121e-17	5.5659e-17
nan	7.9615e-17	5.6509e-17
nan	8.0271e-17	5.6485e-17
nan	8.1235e-17	5.6020e-17
nan	8.2240e-17	5.3235e-17
nan	8.2608e-17	5.4188e-17
nan	8.3302e-17	5.4117e-17
nan	8.3997e-17	5.3519e-17
nan	8.5007e-17	5.1068e-17
nan	8.5714e-17	5.1143e-17
nan	8.5947e-17	5.1771e-17
nan	8.6309e-17	5.2161e-17
nan	8.6693e-17	5.2027e-17
nan	8.7255e-17	5.1843e-17
nan	8.7596e-17	5.2080e-17
nan	8.7762e-17	5.2205e-17
nan	8.8268e-17	5.2043e-17
nan	8.8732e-17	5.1770e-17
nan	8.9182e-17	5.1444e-17
nan	8.9474e-17	5.1444e-17
nan	8.9759e-17	5.1444e-17
nan	9.0266e-17	5.1675e-17
nan	9.0478e-17	5.1634e-17
nan	9.0680e-17	5.1673e-17
nan	9.0824e-17	5.1244e-17
nan	9.1139e-17	5.2763e-17
nan	9.1368e-17	5.2481e-17
nan	9.1818e-17	5.2209e-17
nan	9.2157e-17	5.2654e-17
nan	9.2245e-17	5.4644e-17
nan	9.2494e-17	5.4657e-17
nan	9.2623e-17	5.4897e-17
nan	9.2930e-17	5.4449e-17
nan	9.3104e-17	5.4316e-17
nan	9.3444e-17	5.2669e-17
nan	9.3886e-17	5.2881e-17
nan	9.3765e-17	5.1885e-17
nan	9.4133e-17	5.1982e-17
nan	9.4073e-17	5.1671e-17
nan	9.4219e-17	5.1582e-17
nan	9.4347e-17	5.1586e-17
nan	9.4619e-17	5.1694e-17
nan	9.4452e-17	5.1517e-17
nan	9.4431e-17	5.0426e-17
nan	9.4579e-17	5.0426e-17
nan	9.4598e-17	5.0742e-17
nan	9.4319e-17	5.1463e-17
nan	9.4378e-17	5.1927e-17
nan	9.4184e-17	5.1646e-17
nan	9.4277e-17	5.1564e-17
nan	9.4363e-17	5.3410e-17
nan	9.4369e-17	5.3399e-17
nan	9.4247e-17	5.3477e-17
nan	9.4212e-17	5.4125e-17
nan	9.4243e-17	5.4394e-17
nan	9.4195e-17	5.4207e-17
nan	9.4250e-17	5.3538e-17
nan	9.4159e-17	5.3563e-17
nan	9.3903e-17	5.2999e-17
nan	9.3596e-17	5.2359e-17
nan	9.3431e-17	5.2411e-17
nan	9.3227e-17	5.2080e-17
nan	9.2991e-17	5.2068e-17
nan	9.2682e-17	5.1643e-17
nan	9.2572e-17	5.1621e-17
nan	9.2638e-17	5.2459e-17
nan	9.2474e-17	5.2486e-17
nan	9.2398e-17	5.1955e-17
nan	9.2236e-17	5.1342e-17
nan	9.2308e-17	5.1442e-17
nan	9.2220e-17	5.2538e-17
nan	9.1936e-17	5.2638e-17
nan	9.2016e-17	5.2654e-17
nan	9.2147e-17	5.2557e-17
nan	9.1945e-17	5.1877e-17
nan	9.1875e-17	5.1161e-17
nan	9.1503e-17	4.9230e-17
nan	9.1248e-17	4.9766e-17
nan	9.0944e-17	4.9630e-17
nan	9.0793e-17	4.9520e-17
nan	9.0528e-17	4.9781e-17
nan	9.0537e-17	4.9893e-17
nan	9.0308e-17	5.0093e-17
nan	9.0366e-17	5.0046e-17
nan	9.0499e-17	5.0241e-17
nan	9.0404e-17	5.0138e-17
nan	9.0306e-17	5.0268e-17
nan	9.0090e-17	5.0763e-17
nan	8.9976e-17	5.0277e-17
nan	8.9724e-17	4.9903e-17
nan	8.9851e-17	5.0587e-17
nan	8.9813e-17	5.0758e-17
nan	8.9644e-17	5.0435e-17
nan	8.9668e-17	5.0178e-17
nan	8.9749e-17	5.0177e-17
nan	8.9581e-17	5.0577e-17
nan	8.9693e-17	5.0783e-17
nan	8.9733e-17	5.0636e-17
nan	8.9706e-17	5.0633e-17
nan	8.9756e-17	5.0965e-17
nan	8.9839e-17	5.1021e-17
nan	8.9976e-17	5.0796e-17
nan	9.0077e-17	5.0721e-17
nan	9.0316e-17	4.8901e-17
nan	9.0741e-17	4.8879e-17
nan	9.1087e-17	4.8635e-17
nan	9.1478e-17	4.8081e-17
nan	9.1882e-17	4.5566e-17
nan	9.2173e-17	4.5493e-17
nan	9.2702e-17	4.5172e-17
nan	9.3175e-17	4.5510e-17
nan	9.3533e-17	4.5554e-17
nan	9.3708e-17	4.5295e-17
nan	9.4458e-17	4.5116e-17
nan	9.4546e-17	4.4961e-17
nan	9.4957e-17	4.5902e-17
nan	9.4981e-17	4.5065e-17
nan	9.5404e-17	4.5394e-17
nan	9.5988e-17	4.5382e-17
nan	9.6348e-17	4.5816e-17
nan	9.6800e-17	4.5928e-17
nan	9.6555e-17	4.5924e-17
nan	9.5708e-17	4.6364e-17
nan	9.5450e-17	4.6319e-17
nan	9.5191e-17	4.5500e-17
nan	9.4791e-17	4.4497e-17
nan	9.4055e-17	4.4514e-17
nan	9.4165e-17	4.5123e-17
nan	9.4377e-17	4.3411e-17
nan	9.4092e-17	4.3628e-17
nan	9.4332e-17	4.3502e-17
nan	9.3926e-17	4.2516e-17
nan	9.3859e-17	4.1734e-17
nan	9.3741e-17	4.1770e-17
nan	9.4121e-17	4.2031e-17
nan	9.4546e-17	4.1446e-17
nan	9.4993e-17	4.1325e-17
nan	9.5530e-17	4.1329e-17
nan	9.5854e-17	4.1103e-17
nan	9.5669e-17	4.1107e-17
