#wls	flux	flux_err
nan	1.5461e-16	1.2084e-16
nan	1.5273e-16	1.1409e-16
nan	1.5087e-16	1.0729e-16
nan	1.4900e-16	1.0083e-16
nan	1.4716e-16	9.6487e-17
nan	1.4531e-16	9.2196e-17
nan	1.4350e-16	9.1549e-17
nan	1.4168e-16	9.1043e-17
nan	1.3985e-16	9.0706e-17
nan	1.3806e-16	9.0379e-17
nan	1.3626e-16	9.0377e-17
nan	1.3445e-16	9.0510e-17
nan	1.3269e-16	9.0636e-17
nan	1.3090e-16	8.9623e-17
nan	1.2911e-16	8.8343e-17
nan	1.2732e-16	8.7405e-17
nan	1.2557e-16	8.7036e-17
nan	1.2382e-16	8.6997e-17
nan	1.2207e-16	8.7000e-17
nan	1.2032e-16	8.7082e-17
nan	1.1859e-16	8.7277e-17
nan	1.1685e-16	8.7277e-17
nan	1.1512e-16	8.7087e-17
nan	1.1343e-16	8.6794e-17
nan	1.1172e-16	8.6253e-17
nan	1.1002e-16	8.5051e-17
nan	1.0833e-16	8.2317e-17
nan	1.0664e-16	8.2327e-17
nan	1.0496e-16	8.1682e-17
nan	1.0329e-16	8.1701e-17
nan	1.0163e-16	8.1627e-17
nan	9.9991e-17	8.1188e-17
nan	9.8365e-17	7.7692e-17
nan	9.6734e-17	7.6889e-17
nan	9.5114e-17	7.5878e-17
nan	9.3495e-17	7.2963e-17
nan	9.1887e-17	7.0999e-17
nan	9.0289e-17	7.1145e-17
nan	8.8711e-17	7.1291e-17
nan	8.7131e-17	7.1411e-17
nan	8.5573e-17	7.0638e-17
nan	8.4013e-17	7.0650e-17
nan	8.2464e-17	7.0719e-17
nan	8.0941e-17	6.8962e-17
nan	7.9406e-17	6.9080e-17
nan	7.7890e-17	6.8199e-17
nan	7.6382e-17	6.7285e-17
nan	7.4887e-17	6.6182e-17
nan	7.3399e-17	6.5832e-17
nan	7.1935e-17	6.5767e-17
nan	7.0461e-17	6.1037e-17
nan	6.9013e-17	5.6025e-17
nan	6.7578e-17	5.5364e-17
nan	6.6136e-17	5.5342e-17
nan	6.4704e-17	5.5148e-17
nan	6.3302e-17	5.5109e-17
nan	6.1889e-17	5.4474e-17
nan	6.0487e-17	5.3890e-17
nan	5.9093e-17	5.3267e-17
nan	5.7716e-17	5.2732e-17
nan	5.6372e-17	5.2298e-17
nan	5.5026e-17	5.1915e-17
nan	5.3681e-17	5.1699e-17
nan	5.2342e-17	5.1537e-17
nan	5.1024e-17	5.1358e-17
nan	4.9709e-17	5.1488e-17
nan	4.8408e-17	5.1614e-17
nan	4.7115e-17	5.1685e-17
nan	4.5848e-17	5.1873e-17
nan	4.4585e-17	5.2211e-17
nan	4.3339e-17	5.2336e-17
nan	4.2119e-17	5.2524e-17
nan	4.0908e-17	5.2584e-17
nan	3.9694e-17	5.2825e-17
nan	3.8483e-17	5.2116e-17
nan	3.7290e-17	5.2188e-17
nan	3.6119e-17	5.1504e-17
nan	3.4941e-17	5.1458e-17
nan	3.3773e-17	5.0391e-17
nan	3.2620e-17	5.0509e-17
nan	3.1480e-17	5.0589e-17
nan	3.0357e-17	4.9502e-17
nan	2.9242e-17	4.9292e-17
nan	2.8135e-17	4.8663e-17
nan	2.7051e-17	4.8599e-17
nan	2.5971e-17	4.7727e-17
nan	2.4899e-17	4.7744e-17
nan	2.3847e-17	4.7739e-17
nan	2.2809e-17	4.7817e-17
nan	2.1782e-17	4.7445e-17
nan	2.0779e-17	4.7061e-17
nan	1.9774e-17	4.6284e-17
nan	1.8797e-17	4.6344e-17
nan	1.7828e-17	4.6355e-17
nan	1.6868e-17	4.6331e-17
nan	1.5920e-17	4.6318e-17
nan	1.4976e-17	4.6338e-17
nan	1.4044e-17	4.6310e-17
nan	1.3137e-17	4.6307e-17
nan	1.2234e-17	4.6269e-17
nan	1.1343e-17	4.6227e-17
nan	1.0473e-17	4.6241e-17
nan	9.6104e-18	4.6162e-17
nan	8.7533e-18	4.6068e-17
nan	7.9212e-18	4.5555e-17
nan	7.0828e-18	4.5095e-17
nan	6.2581e-18	4.4638e-17
nan	5.4608e-18	4.4204e-17
nan	4.6638e-18	4.3758e-17
nan	3.8834e-18	4.3355e-17
nan	3.1273e-18	4.3053e-17
nan	2.3841e-18	4.2669e-17
nan	1.6670e-18	4.2348e-17
nan	9.3029e-19	4.2114e-17
nan	2.1252e-19	4.1780e-17
nan	-4.8650e-19	4.1480e-17
nan	-1.1677e-18	4.1469e-17
nan	-1.8333e-18	4.1451e-17
nan	-2.4937e-18	4.0818e-17
nan	-3.1354e-18	4.0303e-17
nan	-3.7497e-18	3.9915e-17
nan	-4.3676e-18	3.9605e-17
nan	-4.9887e-18	3.9064e-17
nan	-5.5816e-18	3.8833e-17
nan	-6.1607e-18	3.8832e-17
nan	-6.7407e-18	3.8711e-17
nan	-7.2954e-18	3.8011e-17
nan	-7.8451e-18	3.7310e-17
nan	-8.3839e-18	3.6617e-17
nan	-8.9065e-18	3.5953e-17
nan	-9.4118e-18	3.5314e-17
nan	-9.9083e-18	3.4686e-17
nan	-1.0400e-17	3.4099e-17
nan	-1.0873e-17	3.3518e-17
nan	-1.1341e-17	3.2947e-17
nan	-1.1793e-17	3.2398e-17
nan	-1.2232e-17	3.1864e-17
nan	-1.2658e-17	3.1339e-17
nan	-1.3072e-17	3.0975e-17
nan	-1.3473e-17	3.0290e-17
nan	-1.3861e-17	2.9605e-17
nan	-1.4237e-17	2.9278e-17
nan	-1.4601e-17	2.8941e-17
nan	-1.4952e-17	2.8569e-17
