#wls	flux	flux_err
4009.4000	1.1635e-15	9.6185e-17
4011.4000	1.1625e-15	9.9079e-17
4013.3000	1.1609e-15	9.7549e-17
4015.3000	1.1550e-15	9.9121e-17
4017.3000	1.1506e-15	9.6661e-17
4019.3000	1.1495e-15	9.6650e-17
4021.2000	1.1498e-15	9.6392e-17
4023.2000	1.1455e-15	9.5479e-17
4025.2000	1.1434e-15	9.5593e-17
4027.1000	1.1422e-15	9.1488e-17
4029.1000	1.1407e-15	8.2319e-17
4031.1000	1.1388e-15	7.8198e-17
4033.1000	1.1385e-15	8.0695e-17
4035.0000	1.1417e-15	8.0610e-17
4037.0000	1.1425e-15	8.0704e-17
4039.0000	1.1425e-15	7.3802e-17
4040.9000	1.1396e-15	7.3739e-17
4042.9000	1.1404e-15	7.3491e-17
4044.9000	1.1409e-15	6.8393e-17
4046.8000	1.1432e-15	6.5520e-17
4048.8000	1.1427e-15	6.5503e-17
4050.8000	1.1437e-15	6.4968e-17
4052.8000	1.1466e-15	6.2366e-17
4054.7000	1.1481e-15	5.9606e-17
4056.7000	1.1497e-15	5.7146e-17
4058.7000	1.1513e-15	5.5902e-17
4060.6000	1.1509e-15	5.2384e-17
4062.6000	1.1500e-15	5.1152e-17
4064.6000	1.1514e-15	4.2156e-17
4066.6000	1.1528e-15	4.2655e-17
4068.5000	1.1535e-15	4.2820e-17
4070.5000	1.1541e-15	4.3633e-17
4072.5000	1.1562e-15	4.1446e-17
4074.4000	1.1585e-15	4.2477e-17
4076.4000	1.1579e-15	4.3832e-17
4078.4000	1.1582e-15	4.2687e-17
4080.4000	1.1591e-15	4.3193e-17
4082.3000	1.1577e-15	3.7347e-17
4084.3000	1.1570e-15	3.7720e-17
4086.3000	1.1573e-15	4.1275e-17
4088.2000	1.1554e-15	4.2456e-17
4090.2000	1.1540e-15	4.2374e-17
4092.2000	1.1504e-15	4.2517e-17
4094.1000	1.1462e-15	4.2548e-17
4096.1000	1.1434e-15	4.2536e-17
4098.1000	1.1439e-15	4.2435e-17
4100.1000	1.1434e-15	4.2155e-17
4102.0000	1.1405e-15	4.1782e-17
4104.0000	1.1411e-15	4.1830e-17
4106.0000	1.1423e-15	4.0805e-17
4107.9000	1.1425e-15	4.0508e-17
4109.9000	1.1438e-15	4.0142e-17
4111.9000	1.1427e-15	3.9606e-17
4113.9000	1.1415e-15	4.4844e-17
4115.8000	1.1422e-15	4.4995e-17
4117.8000	1.1408e-15	4.4668e-17
4119.8000	1.1396e-15	4.1205e-17
4121.7000	1.1410e-15	4.4298e-17
4123.7000	1.1418e-15	4.5931e-17
4125.7000	1.1416e-15	4.4176e-17
4127.7000	1.1396e-15	4.6413e-17
4129.6000	1.1371e-15	5.1303e-17
4131.6000	1.1392e-15	5.1260e-17
4133.6000	1.1355e-15	5.1217e-17
4135.5000	1.1319e-15	4.8472e-17
4137.5000	1.1288e-15	4.7607e-17
4139.5000	1.1254e-15	5.4982e-17
4141.4000	1.1210e-15	5.5901e-17
4143.4000	1.1190e-15	5.6302e-17
4145.4000	1.1166e-15	5.6300e-17
4147.4000	1.1157e-15	5.6387e-17
4149.3000	1.1149e-15	5.7856e-17
4151.3000	1.1143e-15	5.8609e-17
4153.3000	1.1099e-15	5.8492e-17
4155.2000	1.1054e-15	6.0906e-17
4157.2000	1.1034e-15	6.3614e-17
4159.2000	1.1036e-15	6.3120e-17
4161.2000	1.1026e-15	6.4896e-17
4163.1000	1.1004e-15	6.0953e-17
4165.1000	1.0974e-15	6.1941e-17
4167.1000	1.0952e-15	6.1888e-17
4169.0000	1.0936e-15	6.2215e-17
4171.0000	1.0918e-15	6.1626e-17
4173.0000	1.0890e-15	6.0281e-17
4175.0000	1.0880e-15	6.2339e-17
4176.9000	1.0868e-15	6.0328e-17
4178.9000	1.0852e-15	5.4821e-17
4180.9000	1.0831e-15	5.4883e-17
4182.8000	1.0806e-15	5.3808e-17
4184.8000	1.0785e-15	5.2132e-17
4186.8000	1.0774e-15	5.4616e-17
4188.7000	1.0750e-15	5.1482e-17
4190.7000	1.0734e-15	5.2470e-17
4192.7000	1.0703e-15	5.2371e-17
4194.7000	1.0666e-15	5.2488e-17
4196.6000	1.0623e-15	5.3108e-17
4198.6000	1.0599e-15	5.1245e-17
4200.6000	1.0580e-15	4.9799e-17
4202.5000	1.0564e-15	5.0498e-17
4204.5000	1.0546e-15	4.8186e-17
4206.5000	1.0530e-15	4.4548e-17
4208.5000	1.0520e-15	4.6924e-17
4210.4000	1.0497e-15	4.6210e-17
4212.4000	1.0507e-15	4.9257e-17
4214.4000	1.0508e-15	4.6457e-17
4216.3000	1.0495e-15	4.7288e-17
4218.3000	1.0489e-15	4.6798e-17
4220.3000	1.0475e-15	4.6411e-17
4222.3000	1.0459e-15	4.5700e-17
4224.2000	1.0451e-15	4.3442e-17
4226.2000	1.0440e-15	4.3729e-17
4228.2000	1.0420e-15	4.4679e-17
4230.1000	1.0395e-15	4.6335e-17
4232.1000	1.0381e-15	4.6227e-17
