#wls	flux	flux_err
nan	5.7121e-17	1.1474e-16
nan	5.5237e-17	1.1379e-16
nan	5.3372e-17	1.1312e-16
nan	5.1523e-17	1.1285e-16
nan	4.9667e-17	1.1229e-16
nan	4.7865e-17	1.1158e-16
nan	4.6060e-17	1.1062e-16
nan	4.4270e-17	1.0994e-16
nan	4.2515e-17	1.0842e-16
nan	4.0756e-17	1.0701e-16
nan	3.9092e-17	1.0592e-16
nan	3.7432e-17	1.0443e-16
nan	3.5768e-17	1.0351e-16
nan	3.4103e-17	1.0199e-16
nan	3.2457e-17	1.0059e-16
nan	3.0821e-17	9.9636e-17
nan	2.9232e-17	9.8144e-17
nan	2.7675e-17	9.6602e-17
nan	2.6143e-17	9.5045e-17
nan	2.4575e-17	9.3939e-17
nan	2.3044e-17	9.3060e-17
nan	2.1586e-17	9.3044e-17
nan	2.0119e-17	9.2480e-17
nan	1.8656e-17	9.0935e-17
nan	1.7195e-17	9.0155e-17
nan	1.5718e-17	8.9208e-17
nan	1.4310e-17	8.8590e-17
nan	1.2881e-17	8.7796e-17
nan	1.1543e-17	8.7018e-17
nan	1.0163e-17	8.6878e-17
nan	8.7922e-18	8.5479e-17
nan	7.4351e-18	8.4904e-17
nan	6.1079e-18	8.3505e-17
nan	4.8094e-18	8.2196e-17
nan	3.5676e-18	8.1231e-17
nan	2.3430e-18	8.0272e-17
nan	1.1353e-18	7.9422e-17
nan	-5.5006e-20	7.7984e-17
nan	-1.2283e-18	7.7034e-17
nan	-2.3841e-18	7.6244e-17
nan	-3.5224e-18	7.6199e-17
nan	-4.6457e-18	7.5762e-17
nan	-5.7514e-18	7.4615e-17
nan	-6.8394e-18	7.3481e-17
nan	-7.9097e-18	7.2703e-17
nan	-8.9623e-18	7.2259e-17
nan	-9.9971e-18	7.1392e-17
nan	-1.1014e-17	7.0020e-17
nan	-1.2013e-17	6.8919e-17
nan	-1.2995e-17	6.8009e-17
nan	-1.3958e-17	6.7188e-17
nan	-1.4904e-17	6.6276e-17
nan	-1.5819e-17	6.5235e-17
nan	-1.6733e-17	6.3808e-17
nan	-1.7650e-17	6.3257e-17
nan	-1.8579e-17	6.2519e-17
nan	-1.9445e-17	6.1772e-17
nan	-2.0307e-17	6.0482e-17
nan	-2.1083e-17	5.9365e-17
nan	-2.1860e-17	5.8507e-17
nan	-2.2669e-17	5.7204e-17
nan	-2.3406e-17	5.5855e-17
nan	-2.4146e-17	5.5001e-17
nan	-2.4884e-17	5.4881e-17
nan	-2.5632e-17	5.4345e-17
nan	-2.6385e-17	5.3470e-17
nan	-2.7108e-17	5.2494e-17
nan	-2.7741e-17	5.1193e-17
nan	-2.8431e-17	5.0619e-17
nan	-2.9067e-17	4.9969e-17
nan	-2.9698e-17	4.9645e-17
nan	-3.0286e-17	4.9460e-17
nan	-3.0881e-17	4.8149e-17
nan	-3.1448e-17	4.7407e-17
nan	-3.1986e-17	4.6572e-17
nan	-3.2546e-17	4.5575e-17
nan	-3.3072e-17	4.4477e-17
nan	-3.3548e-17	4.3880e-17
nan	-3.3971e-17	4.2631e-17
nan	-3.4416e-17	4.1755e-17
nan	-3.4856e-17	4.1157e-17
nan	-3.5291e-17	4.0015e-17
nan	-3.5692e-17	3.9870e-17
nan	-3.6048e-17	3.9444e-17
nan	-3.6412e-17	3.8798e-17
nan	-3.6718e-17	3.7675e-17
nan	-3.7068e-17	3.7492e-17
nan	-3.7408e-17	3.6510e-17
nan	-3.7724e-17	3.5991e-17
nan	-3.7981e-17	3.5346e-17
nan	-3.8181e-17	3.5118e-17
nan	-3.8402e-17	3.4616e-17
nan	-3.8652e-17	3.4012e-17
nan	-3.8799e-17	3.4005e-17
nan	-3.8983e-17	3.3996e-17
nan	-3.9117e-17	3.3980e-17
nan	-3.9251e-17	3.3961e-17
nan	-3.9406e-17	3.3927e-17
nan	-3.9500e-17	3.3843e-17
nan	-3.9603e-17	3.3767e-17
nan	-3.9702e-17	3.3708e-17
nan	-3.9719e-17	3.3652e-17
nan	-3.9771e-17	3.3552e-17
nan	-3.9807e-17	3.3334e-17
nan	-3.9837e-17	3.3005e-17
nan	-3.9847e-17	3.2552e-17
nan	-3.9814e-17	3.2176e-17
nan	-3.9747e-17	3.1951e-17
nan	-3.9595e-17	3.1682e-17
nan	-3.9549e-17	3.1515e-17
nan	-3.9459e-17	3.1283e-17
nan	-3.9343e-17	3.0812e-17
nan	-3.9180e-17	3.0403e-17
nan	-3.9004e-17	3.0098e-17
nan	-3.8815e-17	2.9670e-17
nan	-3.8614e-17	2.9181e-17
nan	-3.8402e-17	2.9298e-17
nan	-3.8178e-17	2.9451e-17
nan	-3.7942e-17	2.9610e-17
nan	-3.7694e-17	2.9826e-17
nan	-3.7432e-17	2.9766e-17
nan	-3.7158e-17	2.9980e-17
nan	-3.6871e-17	2.9726e-17
nan	-3.6571e-17	2.9887e-17
nan	-3.6286e-17	3.0152e-17
nan	-3.5983e-17	3.0492e-17
nan	-3.5650e-17	3.0484e-17
nan	-3.5248e-17	3.0552e-17
nan	-3.4923e-17	3.0966e-17
nan	-3.4557e-17	3.1417e-17
nan	-3.4149e-17	3.1406e-17
nan	-3.3744e-17	3.1745e-17
nan	-3.3313e-17	3.2151e-17
nan	-3.2869e-17	3.2338e-17
nan	-3.2427e-17	3.2668e-17
nan	-3.1973e-17	3.2956e-17
nan	-3.1508e-17	3.3135e-17
nan	-3.1030e-17	3.3330e-17
nan	-3.0540e-17	3.3652e-17
nan	-3.0039e-17	3.3791e-17
nan	-2.9526e-17	3.3810e-17
nan	-2.9001e-17	3.3825e-17
nan	-2.8467e-17	3.4051e-17
nan	-2.7923e-17	3.4508e-17
nan	-2.7367e-17	3.4613e-17
nan	-2.6799e-17	3.4967e-17
nan	-2.6207e-17	3.5207e-17
nan	-2.5581e-17	3.5565e-17
nan	-2.4920e-17	3.5887e-17
nan	-2.4278e-17	3.6146e-17
nan	-2.3616e-17	3.6391e-17
nan	-2.2951e-17	3.6609e-17
nan	-2.2288e-17	3.6784e-17
nan	-2.1599e-17	3.6927e-17
nan	-2.0907e-17	3.6982e-17
nan	-2.0254e-17	3.7091e-17
nan	-1.9586e-17	3.7196e-17
nan	-1.8862e-17	3.7274e-17
nan	-1.8122e-17	3.7359e-17
nan	-1.7418e-17	3.7438e-17
nan	-1.6656e-17	3.7490e-17
nan	-1.5912e-17	3.7197e-17
nan	-1.5174e-17	3.7166e-17
nan	-1.4433e-17	3.7297e-17
nan	-1.3658e-17	3.7451e-17
nan	-1.2882e-17	3.7350e-17
nan	-1.2098e-17	3.7537e-17
nan	-1.1299e-17	3.7754e-17
nan	-1.0467e-17	3.7538e-17
nan	-9.6649e-18	3.7723e-17
nan	-8.8718e-18	3.7838e-17
nan	-7.9938e-18	3.7394e-17
nan	-7.1681e-18	3.7099e-17
nan	-6.3711e-18	3.7061e-17
nan	-5.5536e-18	3.6999e-17
nan	-4.6936e-18	3.6837e-17
nan	-3.7790e-18	3.6693e-17
nan	-2.8983e-18	3.6568e-17
nan	-1.9642e-18	3.6464e-17
nan	-1.0379e-18	3.6380e-17
nan	-1.4133e-19	3.6367e-17
nan	6.9089e-19	3.6372e-17
nan	1.5203e-18	3.6395e-17
nan	2.3736e-18	3.6389e-17
nan	3.2397e-18	3.6419e-17
nan	4.1004e-18	3.6284e-17
nan	5.0055e-18	3.6269e-17
nan	5.8802e-18	3.5951e-17
nan	6.7421e-18	3.5743e-17
nan	7.6838e-18	3.5660e-17
nan	8.5427e-18	3.5551e-17
nan	9.4290e-18	3.5504e-17
nan	1.0333e-17	3.5470e-17
nan	1.1276e-17	3.5386e-17
nan	1.2163e-17	3.5307e-17
nan	1.3053e-17	3.5080e-17
nan	1.3942e-17	3.5035e-17
nan	1.4867e-17	3.4980e-17
nan	1.5795e-17	3.4849e-17
nan	1.6670e-17	3.4775e-17
nan	1.7514e-17	3.4737e-17
nan	1.8394e-17	3.4572e-17
nan	1.9252e-17	3.4505e-17
nan	2.0185e-17	3.4182e-17
nan	2.1021e-17	3.4145e-17
nan	2.1870e-17	3.3980e-17
nan	2.2764e-17	3.3782e-17
nan	2.3678e-17	3.3590e-17
nan	2.4515e-17	3.3169e-17
nan	2.5355e-17	3.3028e-17
