#nm,g,r,i,z,dich,g+dich,r+dich,i+dich,z+dich
682,0.00295148,97.5031,16.4614,,98.851,2.92E-03,9.64E+01,1.63E+01,0.00E+00
683,0.00295191,97.2104,16.3438,,98.988,2.92E-03,9.62E+01,1.62E+01,0.00E+00
684,0.00295241,97.2887,17.3838,,99.125,2.93E-03,9.64E+01,1.72E+01,0.00E+00
685,0.00295284,97.7578,19.7427,,99.2245,2.93E-03,9.70E+01,1.96E+01,0.00E+00
686,0.00295351,98.2505,23.6891,,99.324,2.93E-03,9.76E+01,2.35E+01,0.00E+00
687,0.00295412,97.8484,29.6269,,99.395,2.94E-03,9.73E+01,2.94E+01,0.00E+00
688,0.00295444,95.1104,37.9478,,99.466,2.94E-03,9.46E+01,3.77E+01,0.00E+00
689,0.00295488,88.6946,48.7634,,99.52,2.94E-03,8.83E+01,4.85E+01,0.00E+00
690,0.00295511,78.2602,61.4072,,99.574,2.94E-03,7.79E+01,6.11E+01,0.00E+00
691,0.00394096,65.0515,74.2951,,99.6175,3.93E-03,6.48E+01,7.40E+01,0.00E+00
692,0.00394116,51.3099,85.3369,,99.661,3.93E-03,5.11E+01,8.50E+01,0.00E+00
693,0.00394116,39.0924,93.0419,,99.697,3.93E-03,3.90E+01,9.28E+01,0.00E+00
694,0.00394151,29.4372,97.1986,,99.733,3.93E-03,2.94E+01,9.69E+01,0.00E+00
695,0.0039417,22.3761,98.7111,,99.7615,3.93E-03,2.23E+01,9.85E+01,0.00E+00
696,0.0049263,17.4519,98.8403,,99.79,4.92E-03,1.74E+01,9.86E+01,0.00E+00
697,0.00492567,14.114,98.5962,,99.813,4.92E-03,1.41E+01,9.84E+01,0.00E+00
698,0.00492504,11.9068,98.4851,,99.836,4.92E-03,1.19E+01,9.83E+01,0.00E+00
699,0.00492451,10.4941,98.6064,,99.853,4.92E-03,1.05E+01,9.85E+01,0.00E+00
700,0.00492393,9.61347,98.8793,0.0068935,99.87,4.92E-03,9.60E+00,9.88E+01,6.88E-03
701,0.00492291,9.00301,99.1582,0.00689207,99.8825,4.92E-03,8.99E+00,9.90E+01,6.88E-03
702,0.00590621,8.35925,99.3178,0.00689058,99.895,5.90E-03,8.35E+00,9.92E+01,6.88E-03
703,0.00590592,7.37551,99.3533,0.00590592,99.9045,5.90E-03,7.37E+00,9.93E+01,5.90E-03
704,0.0059047,5.9539,99.2727,0.0059047,99.914,5.90E-03,5.95E+00,9.92E+01,5.90E-03
705,0.00590383,4.31767,99.1646,0.00491986,99.921,5.90E-03,4.31E+00,9.91E+01,4.92E-03
706,0.00590208,2.84185,99.0448,0.00393472,99.928,5.90E-03,2.84E+00,9.90E+01,3.93E-03
707,0.00590174,1.7597,99.0085,0.00393449,99.9335,5.90E-03,1.76E+00,9.89E+01,3.93E-03
708,0.00688489,1.07011,99.0499,0.00393422,99.939,6.88E-03,1.07E+00,9.90E+01,3.93E-03
709,0.00688428,0.661874,99.1572,0.0029504,99.9435,6.88E-03,6.62E-01,9.91E+01,2.95E-03
710,0.00786643,0.424787,99.295,0.00294991,99.948,7.86E-03,4.25E-01,9.92E+01,2.95E-03
711,0.00884973,0.284175,99.4307,0.00294991,99.951,8.85E-03,2.84E-01,9.94E+01,2.95E-03
712,0.0108153,0.199591,99.5054,0.00294962,99.954,1.08E-02,1.99E-01,9.95E+01,2.95E-03
713,0.0137649,0.145515,99.529,0.00294962,99.956,1.38E-02,1.45E-01,9.95E+01,2.95E-03
714,0.0206453,0.110108,99.4888,0.00294933,99.958,2.06E-02,1.10E-01,9.94E+01,2.95E-03
715,0.0373549,0.0874891,99.3954,0.00196605,99.9595,3.73E-02,8.75E-02,9.94E+01,1.97E-03
716,0.0796077,0.0707624,99.2717,0.00196562,99.961,7.96E-02,7.07E-02,9.92E+01,1.96E-03
717,0.139556,0.0599503,99.1833,0.00196558,99.9625,1.40E-01,5.99E-02,9.91E+01,1.96E-03
718,0.168054,0.0511041,99.1312,0.00196554,99.964,1.68E-01,5.11E-02,9.91E+01,1.96E-03
719,0.134631,0.0452044,99.1106,0.00196541,99.9655,1.35E-01,4.52E-02,9.91E+01,1.96E-03
720,0.0766434,0.0412695,99.1294,0.00196522,99.967,7.66E-02,4.13E-02,9.91E+01,1.96E-03
721,0.0383168,0.0373343,99.1826,0.00196496,99.9685,3.83E-02,3.73E-02,9.92E+01,1.96E-03
722,0.0225962,0.0343855,99.274,0.00196489,99.97,2.26E-02,3.44E-02,9.92E+01,1.96E-03
723,0.0166997,0.0324171,99.3467,0.00196468,99.9705,1.67E-02,3.24E-02,9.93E+01,1.96E-03
724,0.0137534,0.0314363,99.4214,0.00196477,99.971,1.37E-02,3.14E-02,9.94E+01,1.96E-03
725,0.0117891,0.0294727,99.4734,0.00196485,99.971,1.18E-02,2.95E-02,9.94E+01,1.96E-03
726,0.0108062,0.0284892,99.5019,0.00196477,99.971,1.08E-02,2.85E-02,9.95E+01,1.96E-03
727,0.00982222,0.0275022,99.4784,0.00196444,99.9705,9.82E-03,2.75E-02,9.94E+01,1.96E-03
728,0.00982193,0.0265192,99.4568,0.00196439,99.97,9.82E-03,2.65E-02,9.94E+01,1.96E-03
729,0.00883956,0.0265187,99.4264,0.00196435,99.9705,8.84E-03,2.65E-02,9.94E+01,1.96E-03
730,0.00884008,0.025538,99.4018,0.00196446,99.971,8.84E-03,2.55E-02,9.94E+01,1.96E-03
731,0.00883982,0.0255373,99.3714,0.0019644,99.9715,8.84E-03,2.55E-02,9.93E+01,1.96E-03
732,0.00883973,0.025537,99.3635,0.00196439,99.972,8.84E-03,2.55E-02,9.93E+01,1.96E-03
733,0.00883956,0.0245543,99.3852,0.00196435,99.9725,8.84E-03,2.45E-02,9.94E+01,1.96E-03
734,0.00883982,0.0245551,99.4205,0.0019644,99.973,8.84E-03,2.45E-02,9.94E+01,1.96E-03
735,0.00884,0.0255378,99.4519,0.00196444,99.9735,8.84E-03,2.55E-02,9.94E+01,1.96E-03
736,0.0098227,0.0245568,99.4892,0.00196454,99.974,9.82E-03,2.46E-02,9.95E+01,1.96E-03
737,0.0098228,0.0255393,99.5157,0.00196456,99.9735,9.82E-03,2.55E-02,9.95E+01,1.96E-03
738,0.0108049,0.0255388,99.5275,0.00196452,99.973,1.08E-02,2.55E-02,9.95E+01,1.96E-03
739,0.0108036,0.0245536,99.5295,0.00196429,99.972,1.08E-02,2.45E-02,9.95E+01,1.96E-03
740,0.00982106,0.01866,99.5502,0.00196421,99.971,9.82E-03,1.87E-02,9.95E+01,1.96E-03
741,0.00883765,0.0108016,99.5414,0.00196392,99.9705,8.84E-03,1.08E-02,9.95E+01,1.96E-03
742,0.00981836,0.011782,99.5209,0.00196367,99.97,9.82E-03,1.18E-02,9.95E+01,1.96E-03
743,0.0117813,0.0137449,99.515,0.00196356,99.97,1.18E-02,1.37E-02,9.95E+01,1.96E-03
744,0.013746,0.0166915,99.5287,0.00196371,99.97,1.37E-02,1.67E-02,9.95E+01,1.96E-03
745,0.0166932,0.020621,99.5493,0.0019639,99.97,1.67E-02,2.06E-02,9.95E+01,1.96E-03
746,0.0196369,0.025528,99.5474,0.00196369,99.97,1.96E-02,2.55E-02,9.95E+01,1.96E-03
747,0.024543,0.0343602,99.5553,0.00196344,99.969,2.45E-02,3.43E-02,9.95E+01,1.96E-03
748,0.0304363,0.0471272,99.5798,0.00196363,99.968,3.04E-02,4.71E-02,9.95E+01,1.96E-03
749,0.037309,0.0608726,99.5916,0.00294545,99.967,3.73E-02,6.09E-02,9.96E+01,2.94E-03
750,0.04614,0.0697008,99.5749,0.0029451,99.966,4.61E-02,6.97E-02,9.95E+01,2.94E-03
751,0.054972,0.068715,99.5661,0.00294493,99.9645,5.50E-02,6.87E-02,9.95E+01,2.94E-03
752,0.0638012,0.0579118,99.5475,0.00294467,99.963,6.38E-02,5.79E-02,9.95E+01,2.94E-03
753,0.0726352,0.04417,99.5328,0.00294467,99.9625,7.26E-02,4.42E-02,9.95E+01,2.94E-03
754,0.080494,0.0333755,99.5219,0.0029449,99.962,8.05E-02,3.34E-02,9.95E+01,2.94E-03
755,0.0863897,0.0255242,99.5091,0.0029451,99.961,8.64E-02,2.55E-02,9.95E+01,2.94E-03
756,0.0903059,0.0196317,99.4906,0.00294476,99.96,9.03E-02,1.96E-02,9.95E+01,2.94E-03
757,0.0932369,0.0166845,99.4818,0.00294432,99.959,9.32E-02,1.67E-02,9.94E+01,2.94E-03
758,0.0952026,0.0137406,99.4906,0.00294441,99.958,9.52E-02,1.37E-02,9.94E+01,2.94E-03
759,0.0961897,0.0127599,99.5073,0.00294458,99.956,9.61E-02,1.28E-02,9.95E+01,2.94E-03
760,0.0961935,0.0117788,99.5288,0.00392626,99.954,9.61E-02,1.18E-02,9.95E+01,3.92E-03
761,0.0961963,0.0107975,99.5485,0.00392638,99.951,9.61E-02,1.08E-02,9.95E+01,3.92E-03
762,0.095211,0.00981557,99.5691,0.00490778,99.948,9.52E-02,9.81E-03,9.95E+01,4.91E-03
763,0.0932424,0.00981499,99.5809,0.00490749,99.945,9.32E-02,9.81E-03,9.95E+01,4.90E-03
764,0.0902926,0.00981441,99.5907,0.00588865,99.942,9.02E-02,9.81E-03,9.95E+01,5.89E-03
765,0.0863541,0.00883167,99.5937,0.00686908,99.9395,8.63E-02,8.83E-03,9.95E+01,6.86E-03
766,0.0824232,0.00883106,99.5908,0.00784983,99.937,8.24E-02,8.83E-03,9.95E+01,7.84E-03
767,0.0775224,0.00981297,99.5986,0.00981297,99.9345,7.75E-02,9.81E-03,9.95E+01,9.81E-03
768,0.0716417,0.00981393,99.6025,0.0127581,99.932,7.16E-02,9.81E-03,9.95E+01,1.27E-02
769,0.0657514,0.010795,99.5937,0.0157018,99.9285,6.57E-02,1.08E-02,9.95E+01,1.57E-02
770,0.0598603,0.0107945,99.5849,0.0196263,99.925,5.98E-02,1.08E-02,9.95E+01,1.96E-02
771,0.0539782,0.0117771,99.5927,0.0225727,99.92,5.39E-02,1.18E-02,9.95E+01,2.26E-02
772,0.0490711,0.0117771,99.5937,0.025517,99.915,4.90E-02,1.18E-02,9.95E+01,2.55E-02
773,0.0431843,0.012759,99.5976,0.0284623,99.909,4.31E-02,1.27E-02,9.95E+01,2.84E-02
774,0.0392561,0.0137396,99.5927,0.0294421,99.903,3.92E-02,1.37E-02,9.95E+01,2.94E-02
775,0.0343461,0.0137384,99.5937,0.0304208,99.8965,3.43E-02,1.37E-02,9.95E+01,3.04E-02
776,0.0314006,0.014719,99.5849,0.029438,99.89,3.14E-02,1.47E-02,9.95E+01,2.94E-02
777,0.0274785,0.015702,99.5819,0.0274785,99.883,2.74E-02,1.57E-02,9.95E+01,2.74E-02
778,0.025519,0.0166855,99.5838,0.0265005,99.876,2.55E-02,1.67E-02,9.95E+01,2.65E-02
779,0.0225734,0.0166847,99.5682,0.0245363,99.869,2.25E-02,1.67E-02,9.94E+01,2.45E-02
780,0.0206111,0.0157037,99.5574,0.0235555,99.862,2.06E-02,1.57E-02,9.94E+01,2.35E-02
781,0.018645,0.0137384,99.5211,0.0225703,99.854,1.86E-02,1.37E-02,9.94E+01,2.25E-02
782,0.0176625,0.011775,99.4947,0.0215875,99.846,1.76E-02,1.18E-02,9.93E+01,2.16E-02
783,0.0157011,0.0107945,99.5005,0.0206076,99.8365,1.57E-02,1.08E-02,9.93E+01,2.06E-02
784,0.0147212,0.00883271,99.4995,0.0206097,99.827,1.47E-02,8.82E-03,9.93E+01,2.06E-02
785,0.0137392,0.00785099,99.4985,0.0206088,99.816,1.37E-02,7.84E-03,9.93E+01,2.06E-02
786,0.0127585,0.00686995,99.5368,0.0206099,99.805,1.27E-02,6.86E-03,9.93E+01,2.06E-02
787,0.0117778,0.00588888,99.5809,0.0206111,99.793,1.18E-02,5.88E-03,9.94E+01,2.06E-02
788,0.0117791,0.00490798,99.6152,0.0215951,99.781,1.18E-02,4.90E-03,9.94E+01,2.15E-02
789,0.0107975,0.00490798,99.6191,0.0215951,99.769,1.08E-02,4.90E-03,9.94E+01,2.15E-02
790,0.0107978,0.00490807,99.6231,0.0225771,99.757,1.08E-02,4.90E-03,9.94E+01,2.25E-02
791,0.00981547,0.00392619,99.6211,0.0245387,99.745,9.79E-03,3.92E-03,9.94E+01,2.45E-02
792,0.00981528,0.00392611,99.5985,0.0255197,99.733,9.79E-03,3.92E-03,9.93E+01,2.55E-02
793,0.00981653,0.00392661,99.5769,0.0274863,99.7205,9.79E-03,3.92E-03,9.93E+01,2.74E-02
794,0.00883496,0.00392665,99.5465,0.0294499,99.708,8.81E-03,3.92E-03,9.93E+01,2.94E-02
795,0.00883514,0.00392673,99.5258,0.0314138,99.694,8.81E-03,3.91E-03,9.92E+01,3.13E-02
796,0.0088347,0.0029449,99.5033,0.0353388,99.68,8.81E-03,2.94E-03,9.92E+01,3.52E-02
797,0.00883505,0.00294502,99.5052,0.0392669,99.635,8.80E-03,2.93E-03,9.91E+01,3.91E-02
798,0.00981595,0.00294479,99.5072,0.0431902,99.59,9.78E-03,2.93E-03,9.91E+01,4.30E-02
799,0.00981691,0.00294507,99.5298,0.0481029,99.5285,9.77E-03,2.93E-03,9.91E+01,4.79E-02
800,0.00981817,0.00294545,99.5484,0.0539999,99.467,9.77E-03,2.93E-03,9.90E+01,5.37E-02
801,0.0108019,,99.5542,0.0618654,99.358,1.07E-02,0.00E+00,9.89E+01,6.15E-02
802,0.0108022,,99.5051,0.0716874,99.249,1.07E-02,0.00E+00,9.88E+01,7.11E-02
803,0.0117832,,99.4158,0.0824823,99.229,1.17E-02,0.00E+00,9.86E+01,8.18E-02
804,0.0117827,,99.3038,0.0972075,99.209,1.17E-02,0.00E+00,9.85E+01,9.64E-02
805,0.0127655,,99.1761,0.113908,99.1805,1.27E-02,0.00E+00,9.84E+01,1.13E-01
806,0.0137471,,99.0583,0.136489,99.152,1.36E-02,0.00E+00,9.82E+01,1.35E-01
807,0.0137471,,98.9965,0.163983,99.1215,1.36E-02,0.00E+00,9.81E+01,1.63E-01
808,0.0147293,,99.0259,0.198354,99.091,1.46E-02,0.00E+00,9.81E+01,1.97E-01
809,0.0147316,,99.1613,0.24258,99.06,1.46E-02,0.00E+00,9.82E+01,2.40E-01
810,0.0147342,,99.3144,0.298613,99.029,1.46E-02,0.00E+00,9.84E+01,2.96E-01
811,0.0157176,,99.2652,0.37231,98.992,1.56E-02,0.00E+00,9.83E+01,3.69E-01
812,0.0157186,,98.6482,0.466647,98.955,1.56E-02,0.00E+00,9.76E+01,4.62E-01
813,0.015723,,96.9281,0.593542,98.9065,1.56E-02,0.00E+00,9.59E+01,5.87E-01
814,0.0157247,,93.3229,0.76068,98.858,1.55E-02,0.00E+00,9.23E+01,7.52E-01
815,0.0157248,,87.1912,0.986732,98.8065,1.55E-02,0.00E+00,8.62E+01,9.75E-01
