"MJD	band	Flux	Flux_err	FilterSet	Instr	Phase	Log_Phase	Log_Flux	Log_Flux_err"
"57983.969	GROND_J	8.820849047116813e-17	5.6870113168912395e-18	GeneralFilters	GROND	1.4404814800000167	0.1585076790096966	-16.054489610023413	0.0279999988692075"
"57983.969	GROND_K	2.0073199760006377e-17	2.773214920159023e-18	GeneralFilters	GROND	1.4404814800000167	0.1585076790096966	-16.697383393464136	0.0599999975766916"
"57983.969	GROND_g	4.05399541707214e-16	1.4935470459871258e-17	GeneralFilters	GROND	1.4404814800000167	0.1585076790096966	-15.392116746600436	0.015999999353812"
"57983.969	GROND_i	1.834792992109904e-16	8.449533643465134e-18	GeneralFilters	GROND	1.4404814800000167	0.1585076790096966	-15.73641292730058	0.0199999991922411"
"57983.969	GROND_r	3.0237053144863264e-16	2.7849354006297433e-18	GeneralFilters	GROND	1.4404814800000167	0.1585076790096966	-15.51946053675835	0.003999999838463"
"57983.969	GROND_z	1.4749642437072468e-16	4.075476651725117e-18	GeneralFilters	GROND	1.4404814800000167	0.1585076790096966	-15.83121850778674	0.0119999995153852"
"57983.972	Sinistro_i	1.9787715500827352e-16	1.8225158758560468e-17	GeneralFilters	Sinistro	1.443481480004266	0.1594112162156662	-15.70360434236026	0.0399999983844652"
"57983.974	T80Cam_g	3.8556845354493113e-16	1.4204866201701653e-17	GeneralFilters	T80Cam	1.4454814800046734	0.1600125317152199	-15.413898506438857	0.0159999993538219"
"57983.975	T80Cam_g	3.9637065428782446e-16	1.4602833968092314e-17	GeneralFilters	T80Cam	1.446481480001239	0.1603128775382661	-15.40189850643862	0.0159999993538539"
"57983.976	T80Cam_g	3.516426089469948e-16	1.2954991947543717e-17	GeneralFilters	T80Cam	1.4474814800050808	0.1606130157963287	-15.453898506438458	0.0159999993537966"
"57983.976	Sinistro_r	2.925810213479455e-16	2.1558165473277026e-17	GeneralFilters	Sinistro	1.4474814800050808	0.1606130157963287	-15.533753848378788	0.0319999987075961"
"57983.976	DECam_Y	1.5940539236364848e-16	4.4045335844988695e-18	GeneralFilters	DECam	1.4474814800050808	0.1606130157963287	-15.79749699138303	0.011999999515334"
"57983.977	DECam_z	1.575117058222635e-16	2.9014727292064756e-18	GeneralFilters	DECam	1.4484814800016466	0.1609129467717388	-15.802687165143558	0.0079999996769067"
"57983.978	DECam_i	1.987795462056093e-16	3.6616544111985444e-18	GeneralFilters	DECam	1.4494814800054885	0.1612126707549661	-15.701628305185372	0.0079999996769051"
"57983.978	DECam_r	2.5806249579679053e-16	4.753686655086527e-18	GeneralFilters	DECam	1.4494814800054885	0.1612126707549661	-15.58827510685482	0.0079999996769266"
